time_sec,queue_density,dynamic_density
0.0666667,0.0727741,0.110714
0.4,0.0866973,0.080698
0.733333,0.093147,0.0685599
1.06667,0.0984925,0.0798066
1.4,0.106866,0.0856386
1.73333,0.113639,0.0804994
2.06667,0.116874,0.0905369
2.4,0.11977,0.108469
2.73333,0.122851,0.133287
3.06667,0.125512,0.109888
3.4,0.133884,0.0897675
3.73333,0.137132,0.0707133
4.06667,0.131447,0.0588292
4.4,0.126226,0.0232683
4.73333,0.130743,0.0313982
5.06667,0.140621,0.0445682
5.4,0.162967,0.0825666
5.73333,0.186425,0.0833378
6.06667,0.195036,0.0979016
6.4,0.198618,0.10567
6.73333,0.192223,0.107551
7.06667,0.196998,0.0874962
7.4,0.206695,0.0979462
7.73333,0.206552,0.131459
8.06667,0.208978,0.136181
8.4,0.212749,0.153929
8.73333,0.219922,0.150298
9.06667,0.229671,0.159099
9.4,0.230378,0.176805
9.73333,0.226625,0.129674
10.0667,0.222367,0.142154
10.4,0.217088,0.141425
10.7333,0.213614,0.135868
11.0667,0.211885,0.145593
11.4,0.210587,0.122356
11.7333,0.209713,0.122953
12.0667,0.208577,0.104343
12.4,0.20744,0.0844399
12.7333,0.208589,0.0740578
13.0667,0.209042,0.0371583
13.4,0.208901,0.0248268
13.7333,0.208783,0.028473
14.0667,0.208343,0.0319998
14.4,0.208582,0.0812887
14.7333,0.207821,0.0372395
15.0667,0.207485,0.0303652
15.4,0.20835,0.0343616
15.7333,0.206327,0.0324542
16.0667,0.207167,0.0298298
16.4,0.206608,0.0255569
16.7333,0.206021,0.013629
17.0667,0.206167,0.0156912
17.4,0.206186,0.0211177
17.7333,0.204809,0.0718757
18.0667,0.207281,0.0228623
18.4,0.213456,0.0199353
18.7333,0.22025,0.0261177
19.0667,0.218178,0.0309416
19.4,0.214366,0.0246892
19.7333,0.209724,0.0432052
20.0667,0.207431,0.0328569
20.4,0.208145,0.0394333
20.7333,0.207373,0.0332953
21.0667,0.206187,0.119126
21.4,0.206652,0.0836202
21.7333,0.206197,0.0619331
22.0667,0.206291,0.0336889
22.4,0.20866,0.0219534
22.7333,0.213867,0.0229495
23.0667,0.21393,0.029367
23.4,0.213046,0.0312303
23.7333,0.213746,0.0246594
24.0667,0.213268,0.0221425
24.4,0.211474,0.0271502
24.7333,0.210856,0.0181287
25.0667,0.2106,0.0196564
25.4,0.215131,0.0192376
25.7333,0.219508,0.052173
26.0667,0.223349,0.0690444
26.4,0.22472,0.0592984
26.7333,0.233496,0.0673373
27.0667,0.247933,0.0675482
27.4,0.267436,0.0973313
27.7333,0.280475,0.153007
28.0667,0.298726,0.133931
28.4,0.315619,0.164184
28.7333,0.329899,0.20962
29.0667,0.334951,0.230849
29.4,0.342279,0.246128
29.7333,0.350792,0.249418
30.0667,0.357362,0.253267
30.4,0.362432,0.251131
30.7333,0.36407,0.247246
31.0667,0.367629,0.277944
31.4,0.367476,0.255754
31.7333,0.36679,0.255821
32.0667,0.367415,0.25081
32.4,0.367356,0.240526
32.7333,0.368417,0.274628
33.0667,0.376867,0.0494525
33.4,0.397285,0.0452094
33.7333,0.409856,0.0660918
34.0667,0.417695,0.0751783
34.4,0.439312,0.0919784
34.7333,0.449617,0.0727435
35.0667,0.456176,0.0715992
35.4,0.459608,0.0790887
35.7333,0.462128,0.0816869
36.0667,0.461108,0.0992133
36.4,0.457201,0.0986832
36.7333,0.455657,0.102633
37.0667,0.454227,0.102775
37.4,0.451436,0.25688
37.7333,0.454356,0.125956
38.0667,0.460662,0.0242018
38.4,0.470989,0.051523
38.7333,0.480754,0.0630708
39.0667,0.491005,0.0675343
39.4,0.51716,0.0600737
39.7333,0.534531,0.0768311
40.0667,0.545066,0.0792756
40.4,0.564653,0.0920842
40.7333,0.574157,0.0957574
41.0667,0.584402,0.123582
41.4,0.5862,0.0971264
41.7333,0.589901,0.122067
42.0667,0.592127,0.114608
42.4,0.592289,0.0980073
42.7333,0.597233,0.129286
43.0667,0.600655,0.0473767
43.4,0.603864,0.0685189
43.7333,0.60721,0.0877119
44.0667,0.611361,0.0881839
44.4,0.614315,0.0713325
44.7333,0.614002,0.111264
45.0667,0.615404,0.111915
45.4,0.615843,0.10514
45.7333,0.615973,0.117606
46.0667,0.618678,0.168418
46.4,0.618075,0.137925
46.7333,0.619337,0.0996073
47.0667,0.621253,0.14304
47.4,0.623569,0.0857358
47.7333,0.635927,0.148446
48.0667,0.636081,0.159928
48.4,0.636381,0.11283
48.7333,0.639124,0.141442
49.0667,0.643523,0.0168696
49.4,0.657923,0.169498
49.7333,0.665823,0.0170718
50.0667,0.669262,0.0155557
50.4,0.677961,0.0110893
50.7333,0.684881,0.0143642
51.0667,0.706683,0.0471846
51.4,0.707968,0.0332484
51.7333,0.705089,0.0140518
52.0667,0.699526,0.012683
52.4,0.698219,0.0164083
52.7333,0.68779,0.0256439
53.0667,0.682629,0.032328
53.4,0.679986,0.033985
53.7333,0.681837,0.0551398
54.0667,0.72095,0.0666615
54.4,0.785492,0.116928
54.7333,0.818533,0.0242126
55.0667,0.829247,0.0343701
55.4,0.832374,0.0341221
55.7333,0.834411,0.0297419
56.0667,0.838924,0.0944357
56.4,0.839297,0.0277676
56.7333,0.839226,0.0426555
57.0667,0.839858,0.0263051
57.4,0.841723,0.048653
57.7333,0.840799,0.077023
58.0667,0.841591,0.0473799
58.4,0.841217,0.0596831
58.7333,0.841577,0.0555717
59.0667,0.840823,0.0218541
59.4,0.841494,0.0359751
59.7333,0.842334,0.0249525
60.0667,0.838141,0.125639
60.4,0.838452,0.0209897
60.7333,0.840326,0.0115656
61.0667,0.841458,0.0217992
61.4,0.843133,0.0128739
61.7333,0.839333,0.115412
62.0667,0.840619,0.0182993
62.4,0.841562,0.020613
62.7333,0.839896,0.0229245
63.0667,0.841096,0.0312995
63.4,0.842602,0.042808
63.7333,0.842477,0.0590509
64.0667,0.842687,0.047434
64.4,0.840873,0.0368705
64.7333,0.841313,0.0298808
65.0667,0.8351,0.110426
65.4,0.833979,0.0491627
65.7333,0.836887,0.0336774
66.0667,0.837694,0.0208304
66.4,0.83938,0.033812
66.7333,0.838949,0.0678884
