Errors obtained in different methods for Dynamic density 

Sub sampling for Dynamic Density:

Percent Error if 0 frames dropped: 0
Percent Error if 1 frames dropped: 63.3783
Percent Error if 2 frames dropped: 174.249
Percent Error if 3 frames dropped: 98.1554
Percent Error if 4 frames dropped: 268.924
Percent Error if 5 frames dropped: 159.076

Resolution variation for Dynamic Density:

Percent Error if reduced by factor 1: 0
Percent Error if reduced by factor 2: 149.294
Percent Error if reduced by factor 3: 229.026
Percent Error if reduced by factor 4: 300.435
Percent Error if reduced by factor 5: 406.719
Percent Error if reduced by factor 6: 439.209

Spatial threading for Dynamic Density runtimes:

Percent Error with 1 threads: 0
Percent Error with 2 threads: 78.706
Percent Error with 3 threads: 131.605
Percent Error with 4 threads: 145.497
Percent Error with 5 threads: 176.832
Percent Error with 6 threads: 188.427

Temporal threading for Dynamic Density runtimes:

Percent Error with 1 threads: 0
Percent Error with 2 threads: 0
Percent Error with 3 threads: 0
Percent Error with 4 threads: 0
Percent Error with 5 threads: 0
Percent Error with 6 threads: 0
