time_sec	dynamic_density
0.0666667	0.118989
0.133333	0.086855
0.2	0.0937206
0.266667	0.0901467
0.333333	0.0397674
0.4	0.0690639
0.466667	0.0543921
0.533333	0.0621356
0.6	0.063562
0.666667	0.0713838
0.733333	0.0712584
0.8	0.0781083
0.866667	0.0769954
0.933333	0.0745345
1	0.0771678
1.06667	0.0803969
1.13333	0.0768073
1.2	0.0892689
1.26667	0.101589
1.33333	0.0873095
1.4	0.086855
1.46667	0.0882187
1.53333	0.0870117
1.6	0.0890024
1.66667	0.0953038
1.73333	0.0991128
1.8	0.11065
1.86667	0.113753
1.93333	0.113283
2	0.116104
2.06667	0.115995
2.13333	0.117703
2.2	0.121073
2.26667	0.119992
2.33333	0.114474
2.4	0.114333
2.46667	0.112844
2.53333	0.109176
2.6	0.111559
2.66667	0.111245
2.73333	0.113518
2.8	0.110211
2.86667	0.107577
2.93333	0.197959
3	0.120462
3.06667	0.106982
3.13333	0.0317888
3.2	0.1088
3.26667	0.105587
3.33333	0.102358
3.4	0.108565
3.46667	0.100335
3.53333	0.068045
3.6	0.0837357
3.66667	0.0832497
3.73333	0.0579974
3.8	0.0577779
3.86667	0.0437175
3.93333	0.0709292
4	0.0545489
4.06667	0.0493605
4.13333	0.0473697
4.2	0.0463665
4.26667	0.0349552
4.33333	0.0388112
4.4	0.0324942
4.46667	0.027149
4.53333	0.0265847
4.6	0.153568
4.66667	0.0530284
4.73333	0.0533262
4.8	0.0354881
4.86667	0.0454104
4.93333	0.0604427
5	0.0517117
5.06667	0.0488118
5.13333	0.0430905
5.2	0.112452
5.26667	0.0670105
5.33333	0.160684
5.4	0.076196
5.46667	0.0824973
5.53333	0.0857264
5.6	0.0745188
5.66667	0.102828
5.73333	0.111747
5.8	0.105743
5.86667	0.110822
5.93333	0.117985
6	0.11996
6.06667	0.123817
6.13333	0.129491
6.2	0.131811
6.26667	0.192426
6.33333	0.16465
6.4	0.148128
6.46667	0.139162
6.53333	0.135949
6.6	0.137595
6.66667	0.129554
6.73333	0.143238
6.8	0.12913
6.86667	0.145793
6.93333	0.133441
7	0.129413
7.06667	0.150715
7.13333	0.163208
7.2	0.152894
7.26667	0.153521
7.33333	0.144555
7.4	0.161154
7.46667	0.161985
7.53333	0.186234
7.6	0.170826
7.66667	0.174117
7.73333	0.173788
7.8	0.179181
7.86667	0.18509
7.93333	0.330209
8	0.182065
8.06667	0.189103
8.13333	0.206455
8.2	0.19415
8.26667	0.199621
8.33333	0.196878
8.4	0.189949
8.46667	0.200545
8.53333	0.195937
8.6	0.197881
8.66667	0.208618
8.73333	0.196188
8.8	0.193774
8.86667	0.204684
8.93333	0.213227
9	0.208555
9.06667	0.216926
9.13333	0.206267
9.2	0.200718
9.26667	0.139241
9.33333	0.220296
9.4	0.216769
9.46667	0.205405
9.53333	0.202019
9.6	0.280347
9.66667	0.204731
9.73333	0.202677
9.8	0.195843
9.86667	0.184667
9.93333	0.205138
10	0.187363
10.0667	0.167221
10.1333	0.138081
10.2	0.1881
10.2667	0.173349
10.3333	0.200216
10.4	0.18741
10.4667	0.151593
10.5333	0.169337
10.6	0.162126
10.6667	0.164901
10.7333	0.154728
10.8	0.178569
10.8667	0.16838
10.9333	0.176469
11	0.157816
11.0667	0.166797
11.1333	0.148458
11.2	0.146044
11.2667	0.210687
11.3333	0.149994
11.4	0.169697
11.4667	0.136952
11.5333	0.128754
11.6	0.113016
11.6667	0.151843
11.7333	0.160324
11.8	0.14142
11.8667	0.171265
11.9333	0.0984701
12	0.128362
12.0667	0.113079
12.1333	0.129491
12.2	0.121528
12.2667	0.122845
12.3333	0.0986425
12.4	0.0469152
12.4667	0.142548
12.5333	0.0742053
12.6	0.0897705
12.6667	0.11692
12.7333	0.0659132
12.8	0.0646436
12.8667	0.0850994
12.9333	0.132877
13	0.0767603
13.0667	0.0437645
13.1333	0.109599
13.2	0.056132
13.2667	0.0431375
13.3333	0.0722616
13.4	0.0770738
13.4667	0.0544705
13.5333	0.10322
13.6	0.0741583
13.6667	0.0457866
13.7333	0.0594551
13.8	0.04273
13.8667	0.0455985
13.9333	0.1175
14	0.0708352
14.0667	0.0768387
14.1333	0.108628
14.2	0.0549721
14.2667	0.0417424
14.3333	0.0861183
14.4	0.0414446
14.4667	0.0730767
14.5333	0.0882187
14.6	0.172393
14.6667	0.144727
14.7333	0.121889
14.8	0.0626058
14.8667	0.0736567
14.9333	0.154853
15	0.0534673
15.0667	0.11043
15.1333	0.136419
15.2	0.0492194
15.2667	0.0474638
15.3333	0.0817449
15.4	0.0400809
15.4667	0.0433256
15.5333	0.116606
15.6	0.0521349
15.6667	0.0377767
15.7333	0.0431062
15.8	0.0263026
15.8667	0.0303311
15.9333	0.0368989
16	0.0388426
16.0667	0.0223055
16.1333	0.0235281
16.2	0.0245313
16.2667	0.0275096
16.3333	0.0217568
16.4	0.025895
16.4667	0.0208007
16.5333	0.0172268
16.6	0.0237946
16.6667	0.0231206
16.7333	0.0354568
16.8	0.0197034
16.8667	0.0180419
16.9333	0.0250016
17	0.0218822
17.0667	0.0263183
17.1333	0.0274782
17.2	0.0179165
17.2667	0.0427613
17.3333	0.0500658
17.4	0.066697
17.4667	0.0420089
17.5333	0.118644
17.6	0.0382312
17.6667	0.0375415
17.7333	0.0416797
17.8	0.0346417
17.8667	0.0571039
17.9333	0.256129
18	0.133378
18.0667	0.0321964
18.1333	0.0856323
18.2	0.0323688
18.2667	0.0380118
18.3333	0.0339676
18.4	0.032792
18.4667	0.0292808
18.5333	0.0298922
18.6	0.0348768
18.6667	0.0294689
18.7333	0.0320083
18.8	0.0380745
18.8667	0.0442191
18.9333	0.0517431
19	0.0501442
19.0667	0.0533419
19.1333	0.0630917
19.2	0.0482475
19.2667	0.04842
19.3333	0.0469622
19.4	0.0411311
19.4667	0.0381058
19.5333	0.0391247
19.6	0.0883911
19.6667	0.0554894
19.7333	0.0538278
19.8	0.0538122
19.8667	0.0477303
19.9333	0.0492037
20	0.0319769
20.0667	0.0300646
20.1333	0.0418992
20.2	0.0322591
20.2667	0.02392
20.3333	0.0464919
20.4	0.0286852
20.4667	0.0423851
20.5333	0.0345319
20.6	0.0311618
20.6667	0.0405511
20.7333	0.0470562
20.8	0.0410057
20.8667	0.054204
20.9333	0.0351746
21	0.0563045
21.0667	0.066791
21.1333	0.0579974
21.2	0.0388582
21.2667	0.254264
21.3333	0.0810552
21.4	0.0391404
21.4667	0.0468368
21.5333	0.0455671
21.6	0.0449244
21.6667	0.107279
21.7333	0.127767
21.8	0.0903035
21.8667	0.0773716
21.9333	0.0511317
22	0.129271
22.0667	0.0887203
22.1333	0.0615869
22.2	0.064189
22.2667	0.0903975
22.3333	0.101621
22.4	0.0548467
22.4667	0.0534987
22.5333	0.0412408
22.6	0.0355508
22.6667	0.0223211
22.7333	0.0284971
22.8	0.0301586
22.8667	0.0297197
22.9333	0.199527
23	0.031397
23.0667	0.0382939
23.1333	0.0383253
23.2	0.0326509
23.2667	0.0372751
23.3333	0.0444542
23.4	0.0421657
23.4667	0.0330742
23.5333	0.0381999
23.6	0.0417111
23.6667	0.044078
23.7333	0.0490313
23.8	0.0325569
23.8667	0.0312716
23.9333	0.0458963
24	0.0316634
24.0667	0.0332936
24.1333	0.0414916
24.2	0.0304251
24.2667	0.0315067
24.3333	0.035206
24.4	0.0292025
24.4667	0.0329644
24.5333	0.0313186
24.6	0.124788
24.6667	0.0552072
24.7333	0.0620729
24.8	0.0361778
24.8667	0.0448774
24.9333	0.0577309
25	0.0387172
25.0667	0.0416641
25.1333	0.0526052
25.2	0.0390307
25.2667	0.0367421
25.3333	0.0620102
25.4	0.0341557
25.4667	0.033325
25.5333	0.0418522
25.6	0.0397517
25.6667	0.0415857
25.7333	0.0468368
25.8	0.0436234
25.8667	0.0494075
25.9333	0.0640322
26	0.0568061
26.0667	0.0556775
26.1333	0.0605524
26.2	0.0578563
26.2667	0.0937049
26.3333	0.0757885
26.4	0.0546116
26.4667	0.0471816
26.5333	0.0695655
26.6	0.0523544
26.6667	0.0541884
26.7333	0.0698163
26.8	0.0560693
26.8667	0.0650981
26.9333	0.0832184
27	0.0703492
27.0667	0.0724654
27.1333	0.0836573
27.2	0.0865572
27.2667	0.098188
27.3333	0.108455
27.4	0.111935
27.4667	0.120446
27.5333	0.123722
27.6	0.12018
27.6667	0.130933
27.7333	0.139476
27.8	0.132814
27.8667	0.136858
27.9333	0.266913
28	0.155684
28.0667	0.158787
28.1333	0.175654
28.2	0.1636
28.2667	0.168537
28.3333	0.189056
28.4	0.174384
28.4667	0.185027
28.5333	0.187034
28.6	0.191501
28.6667	0.194338
28.7333	0.202646
28.8	0.202474
28.8667	0.203053
28.9333	0.214512
29	0.203148
29.0667	0.217929
29.1333	0.232726
29.2	0.224403
29.2667	0.229043
29.3333	0.232413
29.4	0.232805
29.4667	0.237679
29.5333	0.248213
29.6	0.345664
29.6667	0.256301
29.7333	0.271522
29.8	0.26812
29.8667	0.261333
29.9333	0.270189
30	0.270957
30.0667	0.273074
30.1333	0.286397
30.2	0.260941
30.2667	0.268857
30.3333	0.278074
30.4	0.273998
30.4667	0.27323
30.5333	0.297762
30.6	0.268308
30.6667	0.27577
30.7333	0.274014
30.8	0.28309
30.8667	0.27091
30.9333	0.262368
31	0.277886
31.0667	0.296257
31.1333	0.289485
31.2	0.282651
31.2667	0.393786
31.3333	0.322732
31.4	0.28588
31.4667	0.291695
31.5333	0.284218
31.6	0.276804
31.6667	0.287871
31.7333	0.278952
31.8	0.278999
31.8667	0.264327
31.9333	0.241677
32	0.2147
32.0667	0.200655
32.1333	0.260831
32.2	0.262885
32.2667	0.228839
32.3333	0.248464
32.4	0.239122
32.4667	0.235438
32.5333	0.200498
32.6	0.277917
32.6667	0.195545
32.7333	0.0695498
32.8	0.285112
