time_sec	dynamic_density
0.0666667	0.0326835
0.133333	0.0127065
0.2	0.101838
0.266667	0.0938634
0.333333	0.0497351
0.4	0.0827677
0.466667	0.0835216
0.533333	0.0754418
0.6	0.138771
0.666667	0.133727
0.733333	0.0705623
0.8	0.125188
0.866667	0.122414
0.933333	0.0616848
1	0.123257
1.06667	0.11279
1.13333	0.0568692
1.2	0.10952
1.26667	0.106498
1.33333	0.0505422
1.4	0.0970865
1.46667	0.0968913
1.53333	0.0722392
1.6	0.137672
1.66667	0.137166
1.73333	0.0672242
1.8	0.132644
1.86667	0.127055
1.93333	0.0630823
2	0.0852363
2.06667	0.0735487
2.13333	0.0367162
2.2	0.10752
2.26667	0.11344
2.33333	0.0520468
2.4	0.0671421
2.46667	0.0654714
2.53333	0.046196
2.6	0.0939409
2.66667	0.0925123
2.73333	0.0417207
2.8	0.0771013
2.86667	0.0750123
2.93333	0.048996
3	0.0694315
3.06667	0.071287
3.13333	0.0384967
3.2	0.0613553
3.26667	0.0599595
3.33333	0.0317548
3.4	0.104739
3.46667	0.106979
3.53333	0.0467458
3.6	0.105763
3.66667	0.0972084
3.73333	0.0505553
3.8	0.10011
3.86667	0.0899986
3.93333	0.0424621
4	0.0409336
4.06667	0.214633
4.13333	0.0448982
4.2	0.0872463
4.26667	0.0858965
4.33333	0.0405936
4.4	0.0790679
4.46667	0.0320368
4.53333	0.036268
4.6	0.0316249
4.66667	0.0308796
4.73333	0.0201727
4.8	0.0113579
4.86667	0.00189896
4.93333	0.0022358
5	0.0315845
5.06667	0.012245
5.13333	0.0310793
5.2	0.0467632
5.26667	0.0708167
5.33333	0.043313
5.4	0.0671779
5.46667	0.0611472
5.53333	0.0572095
5.6	0.0546024
5.66667	0.0548186
5.73333	0.0586537
5.8	0.104578
5.86667	0.10347
5.93333	0.0515824
6	0.112583
6.06667	0.150688
6.13333	0.0998006
6.2	0.136014
6.26667	0.142263
6.33333	0.0921202
6.4	0.182113
6.46667	0.179947
6.53333	0.0977943
6.6	0.178415
6.66667	0.126299
6.73333	0.0608517
6.8	0.118603
6.86667	0.121391
6.93333	0.0601729
7	0.129186
7.06667	0.136758
7.13333	0.0874983
7.2	0.158388
7.26667	0.152284
7.33333	0.0794351
7.4	0.144539
7.46667	0.145318
7.53333	0.0537426
7.6	0.100229
7.66667	0.166728
7.73333	0.0680665
7.8	0.128731
7.86667	0.124859
7.93333	0.0717921
8	0.122109
8.06667	0.120248
8.13333	0.0598784
8.2	0.112763
8.26667	0.136901
8.33333	0.0756672
8.4	0.14338
8.46667	0.139549
8.53333	0.0532772
8.6	0.103392
8.66667	0.097187
8.73333	0.0458289
8.8	0.105731
8.86667	0.0869088
8.93333	0.0494947
9	0.0994639
9.06667	0.0833596
9.13333	0.0480783
9.2	0.0746768
9.26667	0.116694
9.33333	0.0403863
9.4	0.0861409
9.46667	0.0744299
9.53333	0.0323153
9.6	0.0777314
9.66667	0.072264
9.73333	0.0289067
9.8	0.0565352
9.86667	0.0778354
9.93333	0.0399075
10	0.0527715
10.0667	0.0360328
10.1333	0.0293149
10.2	0.0358757
