time_sec	Dynamic_density
0.0666667	0.0747461
0.133333	0.0782729
0.2	0.0797934
0.266667	0.0773873
0.333333	0.0640166
0.4	0.0808475
0.466667	0.0867884
0.533333	0.0778693
0.6	0.0827168
0.666667	0.0977804
0.733333	0.0809847
0.8	0.0910794
0.866667	0.0946258
0.933333	0.0889554
1	0.090084
1.06667	0.0757806
1.13333	0.0638402
1.2	0.072434
1.26667	0.0953547
1.33333	0.0889084
1.4	0.085264
1.46667	0.077403
1.53333	0.101742
1.6	0.0805105
1.66667	0.0927057
1.73333	0.109509
1.8	0.0963187
1.86667	0.125364
1.93333	0.108733
2	0.109125
2.06667	0.0877328
2.13333	0.114459
2.2	0.113263
2.26667	0.118111
2.33333	0.119721
2.4	0.116438
2.46667	0.100962
2.53333	0.111218
2.6	0.106762
2.66667	0.102197
2.73333	0.107421
2.8	0.0934463
2.86667	0.0996771
2.93333	0.163388
3	0.105489
3.06667	0.107342
3.13333	0.0963697
3.2	0.11583
3.26667	0.105449
3.33333	0.0555991
3.4	0.0753848
3.46667	0.0695459
3.53333	0.0663913
3.6	0.0761529
3.66667	0.0753731
3.73333	0.0388269
3.8	0.075761
3.86667	0.061152
3.93333	0.0639499
4	0.0575114
4.06667	0.0634797
4.13333	0.0377336
4.2	0.05054
4.26667	0.0301547
4.33333	0.0253229
4.4	0.0279171
4.46667	0.0291946
4.53333	0.0265651
4.6	0.0842137
4.66667	0.0802754
4.73333	0.0499012
4.8	0.0707725
4.86667	0.0409979
4.93333	0.0597255
5	0.0570216
5.06667	0.0368087
5.13333	0.0419227
5.2	0.0691815
5.26667	0.0516372
5.33333	0.107393
5.4	0.0530558
5.46667	0.0619083
5.53333	0.0607013
5.6	0.0610461
5.66667	0.0739702
5.73333	0.0808867
5.8	0.0724575
5.86667	0.0760314
5.93333	0.0895981
6	0.0884577
6.06667	0.0902878
6.13333	0.0866042
6.2	0.0884852
6.26667	0.134954
6.33333	0.107131
6.4	0.0899233
6.46667	0.0867609
6.53333	0.0921845
6.6	0.0902564
6.66667	0.0848016
6.73333	0.0912479
6.8	0.0878621
6.86667	0.0972396
6.93333	0.102691
7	0.0893316
7.06667	0.0973533
7.13333	0.112824
7.2	0.0992264
7.26667	0.0980547
7.33333	0.0981723
7.4	0.105332
7.46667	0.105935
7.53333	0.128456
7.6	0.110199
7.66667	0.109192
7.73333	0.114725
7.8	0.121834
7.86667	0.121599
7.93333	0.17967
8	0.118597
8.06667	0.121289
8.13333	0.134162
8.2	0.127645
8.26667	0.13245
8.33333	0.135906
8.4	0.129608
8.46667	0.124847
8.53333	0.131877
8.6	0.129291
8.66667	0.13964
8.73333	0.133896
8.8	0.123883
8.86667	0.133421
8.93333	0.128829
9	0.136846
9.06667	0.136764
9.13333	0.133864
