time_sec	dynamic_density
0.0666667	0.0699613
0.333333	0.0957779
0.6	0.0529148
0.866667	0.0553992
1.13333	0.0689463
1.4	0.0785433
1.66667	0.0749459
1.93333	0.0819722
2.2	0.106919
2.46667	0.107746
2.73333	0.103741
3	0.122386
3.26667	0.0962286
3.53333	0.0812825
3.8	0.0753731
4.06667	0.0498503
4.33333	0.0287009
4.6	0.0198759
4.86667	0.021749
5.13333	0.034144
5.4	0.0433726
5.66667	0.0777126
5.93333	0.0746285
6.2	0.0936109
6.46667	0.101923
6.73333	0.0849897
7	0.0983212
7.26667	0.0807104
7.53333	0.0993558
7.8	0.118667
8.06667	0.134381
8.33333	0.13968
8.6	0.14709
8.86667	0.142877
9.13333	0.148023
9.4	0.156671
9.66667	0.140354
9.93333	0.133606
10.2	0.134542
10.4667	0.129746
10.7333	0.126536
11	0.130369
11.2667	0.128398
11.5333	0.107961
11.8	0.114125
12.0667	0.109196
12.3333	0.0992304
12.6	0.0867648
12.8667	0.0479419
13.1333	0.0561164
13.4	0.0237123
13.6667	0.0240885
13.9333	0.0235399
14.2	0.0345829
14.4667	0.022427
14.7333	0.0857695
15	0.0396146
15.2667	0.0345124
15.5333	0.0352216
15.8	0.0264515
16.0667	0.027294
16.3333	0.0438272
16.6	0.0216902
16.8667	0.0122461
17.1333	0.0107922
17.4	0.0244294
17.6667	0.022619
17.9333	0.0861535
18.2	0.0236222
18.4667	0.0187629
18.7333	0.0151381
19	0.0242609
19.2667	0.0313107
19.5333	0.0212827
19.8	0.0488393
20.0667	0.0374318
20.3333	0.0237084
20.6	0.0392109
20.8667	0.0337795
21.1333	0.0387289
21.4	0.137544
21.6667	0.0643261
21.9333	0.0638363
22.2	0.0623589
22.4667	0.0302723
22.7333	0.022427
23	0.0225367
23.2667	0.0272352
23.5333	0.026526
23.8	0.0273215
24.0667	0.0214982
24.3333	0.0220703
24.6	0.0291437
24.8667	0.0201776
25.1333	0.018038
25.4	0.0225563
25.6667	0.0227209
25.9333	0.0333798
26.2	0.0487805
26.4667	0.0554149
26.7333	0.0491567
27	0.056132
27.2667	0.0353235
27.5333	0.0858165
27.8	0.114341
28.0667	0.159015
28.3333	0.164787
28.6	0.158932
28.8667	0.182123
29.1333	0.211126
29.4	0.227691
29.6667	0.239666
29.9333	0.240963
30.2	0.248229
30.4667	0.244745
30.7333	0.249408
31	0.247508
31.2667	0.281589
31.5333	0.255565
31.8	0.253323
32.0667	0.250874
32.3333	0.234278
32.6	0.242723
32.8667	0.238941
33.1333	0.249616
33.4	0.0222859
33.6667	0.0432472
33.9333	0.0576329
34.2	0.0636286
34.4667	0.0695968
34.7333	0.0796719
35	0.0717639
35.2667	0.0727279
35.5333	0.072822
35.8	0.0747892
