time_sec	Dynamic_density
0.0666667	0.0699613
0.133333	0.0637893
0.2	0.0418247
0.266667	0.0254052
0.333333	0.0405825
0.4	0.0270707
0.466667	0.0429651
0.533333	0.040798
0.6	0.0442739
0.666667	0.0442034
0.733333	0.0461471
0.8	0.0445639
0.866667	0.0490705
0.933333	0.0464332
1	0.0515863
1.06667	0.0524445
1.13333	0.048467
1.2	0.0566611
1.26667	0.0621552
1.33333	0.0561556
1.4	0.054831
1.46667	0.0581306
1.53333	0.0558695
1.6	0.0571235
1.66667	0.0611206
1.73333	0.0641733
1.8	0.0699652
1.86667	0.0793976
1.93333	0.074076
2	0.0808084
2.06667	0.0798757
2.13333	0.0734176
2.2	0.0871802
2.26667	0.0867139
2.33333	0.0757062
2.4	0.0801657
2.46667	0.0751105
2.53333	0.0726299
2.6	0.0745932
2.66667	0.0742993
2.73333	0.0768504
2.8	0.0742484
2.86667	0.0703884
2.93333	0.14015
3	0.0786687
3.06667	0.0682841
3.13333	0.0608424
3.2	0.0697497
3.26667	0.0689346
3.33333	0.0531616
3.4	0.0701376
3.46667	0.0378629
3.53333	0.0447481
3.6	0.0312167
3.66667	0.0334817
3.73333	0.038
3.8	0.0401671
3.86667	0.0317144
3.93333	0.04543
4	0.0362405
4.06667	0.0301547
4.13333	0.0302527
4.2	0.0316321
4.26667	0.0225994
4.33333	0.0233165
4.4	0.0194056
4.46667	0.0164901
4.53333	0.0178342
4.6	0.0722028
4.66667	0.0362052
4.73333	0.0287792
4.8	0.0290575
4.86667	0.0294533
4.93333	0.0330271
5	0.0304408
5.06667	0.0343556
5.13333	0.0391051
5.2	0.0597765
5.26667	0.0466448
5.33333	0.102244
5.4	0.0520605
5.46667	0.0597216
5.53333	0.0602898
5.6	0.0607601
5.66667	0.0733157
5.73333	0.0794486
5.8	0.0721754
5.86667	0.0758903
5.93333	0.0891592
6	0.0874114
6.06667	0.0864161
6.13333	0.0857852
6.2	0.0870979
6.26667	0.13607
6.33333	0.106022
6.4	0.0900174
6.46667	0.0841706
6.53333	0.0919611
6.6	0.0899547
6.66667	0.0846722
6.73333	0.0908011
6.8	0.0854403
6.86667	0.0958328
6.93333	0.0977569
7	0.0877994
7.06667	0.0969692
7.13333	0.108604
7.2	0.0974513
7.26667	0.0961777
7.33333	0.0965774
7.4	0.101703
