time_sec	queue_density
0.0666667	0.0687817
0.133333	0.0659132
0.2	0.0664618
0.266667	0.0670418
0.333333	0.0683428
0.4	0.0699574
0.466667	0.0730453
0.533333	0.0781867
0.6	0.0787353
0.666667	0.0819017
0.733333	0.0838924
0.8	0.0848643
0.866667	0.0861653
0.933333	0.0882814
1	0.0890495
1.06667	0.0909932
1.13333	0.0925293
1.2	0.0926077
1.26667	0.0939401
1.33333	0.0947552
1.4	0.0955546
1.46667	0.0966832
1.53333	0.0983134
1.6	0.099489
1.66667	0.101762
1.73333	0.104427
1.8	0.105085
1.86667	0.107468
1.93333	0.109631
2	0.109223
2.06667	0.110571
2.13333	0.111951
2.2	0.112233
2.26667	0.112248
2.33333	0.113283
2.4	0.113769
2.46667	0.114082
2.53333	0.115007
2.6	0.114992
2.66667	0.115603
2.73333	0.117139
2.8	0.117594
2.86667	0.118597
2.93333	0.119051
3	0.119239
3.06667	0.119224
3.13333	0.119992
3.2	0.120446
3.26667	0.120885
3.33333	0.120979
3.4	0.123221
3.46667	0.12471
3.53333	0.127437
3.6	0.127955
3.66667	0.130008
3.73333	0.131936
3.8	0.131873
3.86667	0.133629
3.93333	0.134585
4	0.135181
4.06667	0.134789
4.13333	0.133441
4.2	0.132767
4.26667	0.131372
4.33333	0.129914
4.4	0.129177
4.46667	0.127829
4.53333	0.125698
4.6	0.125509
4.66667	0.124349
4.73333	0.124271
4.8	0.124976
4.86667	0.126168
4.93333	0.126967
5	0.127359
5.06667	0.128441
5.13333	0.129601
5.2	0.130964
5.26667	0.133786
5.33333	0.137031
5.4	0.138786
5.46667	0.140667
5.53333	0.144962
5.6	0.147893
5.66667	0.154445
5.73333	0.161233
5.8	0.164258
5.86667	0.170935
5.93333	0.17639
6	0.178021
6.06667	0.184338
6.13333	0.1873
6.2	0.188444
6.26667	0.189448
6.33333	0.188491
6.4	0.190623
6.46667	0.193178
6.53333	0.19437
6.6	0.194746
6.66667	0.19462
6.73333	0.195091
6.8	0.194667
6.86667	0.193241
6.93333	0.191642
7	0.191109
7.06667	0.188711
7.13333	0.190231
7.2	0.190153
7.26667	0.191579
7.33333	0.193053
7.4	0.194072
7.46667	0.195028
7.53333	0.197458
7.6	0.197379
7.66667	0.200263
7.73333	0.20285
7.8	0.203445
7.86667	0.204088
7.93333	0.203994
8	0.201455
8.06667	0.202426
8.13333	0.202019
8.2	0.202191
8.26667	0.20368
8.33333	0.20401
8.4	0.20459
8.46667	0.205577
8.53333	0.205232
8.6	0.205828
8.66667	0.206063
8.73333	0.207803
8.8	0.2089
8.86667	0.211377
8.93333	0.211737
9	0.212866
9.06667	0.214747
9.13333	0.217804
9.2	0.219089
9.26667	0.221566
9.33333	0.224654
9.4	0.225359
9.46667	0.225296
9.53333	0.225625
9.6	0.225719
9.66667	0.227538
9.73333	0.226002
9.8	0.225955
9.86667	0.22492
9.93333	0.223635
10	0.223133
10.0667	0.221754
10.1333	0.220045
10.2	0.220124
10.2667	0.219387
10.3333	0.217866
10.4	0.217474
10.4667	0.215013
10.5333	0.213477
10.6	0.213164
10.6667	0.21296
10.7333	0.212208
10.8	0.211722
10.8667	0.210139
10.9333	0.208728
11	0.208493
11.0667	0.208759
11.1333	0.207678
11.2	0.208305
11.2667	0.207474
11.3333	0.206188
11.4	0.206471
11.4667	0.205499
11.5333	0.204699
11.6	0.205483
11.6667	0.205279
11.7333	0.205624
11.8	0.205013
11.8667	0.204496
11.9333	0.204699
12	0.204433
12.0667	0.204543
12.1333	0.204887
12.2	0.204496
12.2667	0.204715
12.3333	0.204496
12.4	0.20379
12.4667	0.202881
12.5333	0.202693
12.6	0.202693
12.6667	0.202599
12.7333	0.202756
12.8	0.202552
12.8667	0.202191
12.9333	0.201815
13	0.202771
13.0667	0.203555
13.1333	0.203931
13.2	0.203743
13.2667	0.203665
13.3333	0.203618
13.4	0.203618
13.4667	0.203978
13.5333	0.204292
13.6	0.204464
13.6667	0.204543
13.7333	0.203947
13.8	0.204072
13.8667	0.203822
13.9333	0.203759
14	0.203743
14.0667	0.204213
14.1333	0.204041
14.2	0.204151
14.2667	0.203555
14.3333	0.20321
14.4	0.202724
14.4667	0.202928
14.5333	0.203022
14.6	0.203242
14.6667	0.202881
14.7333	0.203304
14.8	0.203132
14.8667	0.202865
14.9333	0.202693
15	0.202505
15.0667	0.202223
15.1333	0.202521
15.2	0.202301
15.2667	0.202238
15.3333	0.202662
15.4	0.202411
15.4667	0.202395
15.5333	0.203022
15.6	0.203351
15.6667	0.20343
15.7333	0.203712
15.8	0.203492
15.8667	0.202677
15.9333	0.202489
16	0.201502
16.0667	0.201455
16.1333	0.202583
16.2	0.202505
16.2667	0.202865
16.3333	0.201408
16.4	0.20158
16.4667	0.202395
16.5333	0.202426
16.6	0.201878
16.6667	0.201658
16.7333	0.201267
16.8	0.201
16.8667	0.200467
16.9333	0.20042
17	0.200326
17.0667	0.200734
17.1333	0.200655
17.2	0.200796
17.2667	0.20089
17.3333	0.201078
17.4	0.201063
17.4667	0.200483
17.5333	0.201078
17.6	0.201047
17.6667	0.200906
17.7333	0.201078
17.8	0.201172
17.8667	0.201157
17.9333	0.201345
18	0.199809
18.0667	0.199636
18.1333	0.199276
18.2	0.199213
18.2667	0.199542
18.3333	0.200749
18.4	0.201768
18.4667	0.202991
18.5333	0.204213
18.6	0.204934
18.6667	0.20633
18.7333	0.208054
18.8	0.209512
18.8667	0.211549
18.9333	0.213681
19	0.214151
19.0667	0.214825
19.1333	0.2147
19.2	0.214496
19.2667	0.213807
19.3333	0.213258
19.4	0.213132
19.4667	0.212474
19.5333	0.211549
19.6	0.211189
19.6667	0.210358
19.7333	0.209418
19.8	0.20832
19.8667	0.206925
19.9333	0.205875
20	0.205671
20.0667	0.204511
20.1333	0.203869
20.2	0.203461
20.2667	0.203132
20.3333	0.202834
20.4	0.202568
20.4667	0.202583
20.5333	0.202834
20.6	0.202113
20.6667	0.202003
20.7333	0.203195
20.8	0.202144
20.8667	0.201784
20.9333	0.202238
21	0.202724
21.0667	0.202536
21.1333	0.201894
21.2	0.201486
21.2667	0.20031
21.3333	0.201282
21.4	0.201282
21.4667	0.200953
21.5333	0.200984
21.6	0.201455
21.6667	0.201784
21.7333	0.202207
21.8	0.202411
21.8667	0.202662
21.9333	0.202599
22	0.202395
22.0667	0.202474
22.1333	0.202568
22.2	0.202317
22.2667	0.202615
22.3333	0.202348
22.4	0.202285
22.4667	0.202176
22.5333	0.201815
22.6	0.202254
22.6667	0.202583
22.7333	0.204213
22.8	0.205029
22.8667	0.205906
22.9333	0.207537
23	0.207192
23.0667	0.208806
23.1333	0.209559
23.2	0.209982
23.2667	0.209997
23.3333	0.209778
23.4	0.20959
23.4667	0.209073
23.5333	0.208838
23.6	0.208587
23.6667	0.207881
23.7333	0.208101
23.8	0.207944
23.8667	0.208258
23.9333	0.208195
