time_sec	queue_density
0.0666667	0.0712349
0.266667	0.0692677
0.466667	0.0753809
0.666667	0.0832066
0.866667	0.0884813
1.06667	0.0925176
1.26667	0.0959896
1.46667	0.0990736
1.66667	0.103772
1.86667	0.109662
2.06667	0.113016
2.26667	0.115152
2.46667	0.116187
2.66667	0.118123
2.86667	0.120023
3.06667	0.122226
3.26667	0.123429
3.46667	0.126701
3.66667	0.132308
3.86667	0.135765
4.06667	0.136513
4.26667	0.13299
4.46667	0.129507
4.66667	0.12569
4.86667	0.127508
5.06667	0.130141
5.26667	0.135271
5.46667	0.142062
5.66667	0.156193
5.86667	0.171802
6.06667	0.185819
6.26667	0.190815
6.46667	0.196756
6.66667	0.197179
6.86667	0.196744
7.06667	0.191591
7.26667	0.193041
7.46667	0.198112
7.66667	0.203461
7.86667	0.206902
8.06667	0.205926
8.26667	0.207156
8.46667	0.208438
8.66667	0.211067
8.86667	0.214261
9.06667	0.219293
9.26667	0.225782
9.46667	0.229266
9.66667	0.230967
9.86667	0.228506
10.0667	0.225998
10.2667	0.223494
10.4667	0.219849
10.6667	0.216742
10.8667	0.2145
11.0667	0.212987
11.2667	0.211373
11.4667	0.21044
11.6667	0.209731
11.8667	0.209002
12.0667	0.209128
12.2667	0.208818
12.4667	0.206968
12.6667	0.206878
12.8667	0.20629
13.0667	0.207979
13.2667	0.208336
13.4667	0.208301
13.6667	0.208712
13.8667	0.20783
14.0667	0.208156
14.2667	0.207901
14.4667	0.207458
14.6667	0.207885
14.8667	0.207564
15.0667	0.207192
15.2667	0.206757
15.4667	0.206976
15.6667	0.207729
15.8667	0.207152
16.0667	0.205706
16.2667	0.207489
16.4667	0.206682
16.6667	0.205973
16.8667	0.205326
17.0667	0.205393
17.2667	0.205726
17.4667	0.205079
17.6667	0.20562
17.8667	0.205232
18.0667	0.204186
18.2667	0.2041
18.4667	0.207791
18.6667	0.21066
18.8667	0.215868
19.0667	0.219642
19.2667	0.218815
19.4667	0.216808
19.6667	0.215198
19.8667	0.211514
20.0667	0.209135
20.2667	0.207584
20.4667	0.20689
20.6667	0.20649
20.8667	0.206051
21.0667	0.206776
21.2667	0.205017
21.4667	0.205315
21.6667	0.205871
21.8667	0.205914
22.0667	0.205565
22.2667	0.205855
22.4667	0.205652
22.6667	0.206533
22.8667	0.209864
23.0667	0.213234
23.2667	0.21381
23.4667	0.213027
23.6667	0.212392
23.8667	0.212686
24.0667	0.213117
24.2667	0.212995
24.4667	0.212674
24.6667	0.211052
24.8667	0.210852
25.0667	0.210225
25.2667	0.209625
25.4667	0.210911
25.6667	0.213685
25.8667	0.216119
26.0667	0.219073
26.2667	0.220445
26.4667	0.222894
26.6667	0.223325
26.8667	0.225892
27.0667	0.232863
27.2667	0.241802
27.4667	0.251297
27.6667	0.262109
27.8667	0.272188
28.0667	0.279833
28.2667	0.29097
28.4667	0.30208
28.6667	0.311144
28.8667	0.320185
29.0667	0.329268
29.2667	0.332521
29.4667	0.335158
29.6667	0.340217
29.8667	0.344171
30.0667	0.350167
30.2667	0.354384
30.4667	0.358306
30.6667	0.36032
30.8667	0.36246
31.0667	0.363628
31.2667	0.364094
31.4667	0.367449
31.6667	0.367578
31.8667	0.366175
32.0667	0.366159
32.2667	0.366014
32.4667	0.367037
32.6667	0.366626
32.8667	0.367076
33.0667	0.367786
33.2667	0.370783
33.4667	0.380823
33.6667	0.391388
33.8667	0.403395
34.0667	0.409222
34.2667	0.414278
34.4667	0.420512
34.6667	0.436512
34.8667	0.442567
35.0667	0.449002
35.2667	0.453273
35.4667	0.455989
35.6667	0.458383
35.8667	0.459582
36.0667	0.461518
36.2667	0.462611
36.4667	0.460338
36.6667	0.457638
36.8667	0.456573
37.0667	0.455048
37.2667	0.454151
37.4667	0.45343
37.6667	0.451071
37.8667	0.450663
38.0667	0.453755
38.2667	0.456639
38.4667	0.461718
38.6667	0.467964
38.8667	0.474344
39.0667	0.480152
39.2667	0.486026
39.4667	0.492296
39.6667	0.508852
39.8667	0.524312
40.0667	0.533936
40.2667	0.540853
40.4667	0.551151
40.6667	0.561391
40.8667	0.567536
41.0667	0.57357
41.2667	0.577293
41.4667	0.584343
41.6667	0.586208
41.8667	0.586118
42.0667	0.589328
42.2667	0.590887
42.4667	0.591722
42.6667	0.591781
42.8667	0.591593
43.0667	0.596671
43.2667	0.599168
43.4667	0.600723
43.6667	0.603514
43.8667	0.604576
44.0667	0.606645
44.2667	0.609403
44.4667	0.611085
44.6667	0.613314
44.8667	0.614028
45.0667	0.613436
45.2667	0.614004
45.4667	0.614988
45.6667	0.615505
45.8667	0.615168
46.0667	0.615407
46.2667	0.61563
46.4667	0.617989
46.6667	0.617292
46.8667	0.617966
47.0667	0.618777
47.2667	0.619906
47.4667	0.621164
47.6667	0.622378
47.8667	0.623871
48.0667	0.635377
48.2667	0.635679
48.4667	0.635369
48.6667	0.635624
48.8667	0.637556
49.0667	0.638622
49.2667	0.641192
49.4667	0.644711
49.6667	0.65566
49.8667	0.662114
50.0667	0.665763
50.2667	0.668796
50.4667	0.66938
50.6667	0.672044
50.8667	0.682194
51.0667	0.685012
51.2667	0.687402
51.4667	0.706843
51.6667	0.707337
51.8667	0.708426
52.0667	0.705197
52.2667	0.704151
52.4667	0.699523
52.6667	0.697058
52.8667	0.69542
53.0667	0.687798
53.2667	0.685858
53.4667	0.681438
53.6667	0.679921
53.8667	0.679322
54.0667	0.681916
54.2667	0.708771
54.4667	0.731939
54.6667	0.786903
54.8667	0.801026
55.0667	0.81937
55.2667	0.828214
55.4667	0.831145
55.6667	0.832838
55.8667	0.834026
56.0667	0.835272
56.2667	0.836436
56.4667	0.840119
56.6667	0.839865
56.8667	0.840311
57.0667	0.840025
57.2667	0.840472
57.4667	0.840543
57.6667	0.842678
57.8667	0.842627
58.0667	0.841624
58.2667	0.842565
58.4667	0.842631
58.6667	0.842318
58.8667	0.842725
59.0667	0.842482
59.2667	0.841695
59.4667	0.841992
59.6667	0.842149
59.8667	0.843407
60.0667	0.843235
60.2667	0.843493
60.4667	0.838952
60.6667	0.839257
60.8667	0.839018
61.0667	0.841193
61.2667	0.841702
61.4667	0.84271
61.6667	0.84423
61.8667	0.843901
62.0667	0.840225
62.2667	0.841514
62.4667	0.842314
62.6667	0.842819
62.8667	0.841785
63.0667	0.840785
63.2667	0.842286
63.4667	0.841942
63.6667	0.844308
63.8667	0.844289
64.0667	0.843399
