time_sec	dynamic_density
0.0666667	0.264336
0.133333	0.186154
0.2	0.196224
0.266667	0.188671
0.333333	0.134406
0.4	0.155804
0.466667	0.177762
0.533333	0.139301
0.6	0.153287
0.666667	0.237622
0.733333	0.226154
0.8	0.179161
0.866667	0.182238
0.933333	0.182238
1	0.209371
1.06667	0.19972
1.13333	0.193706
1.2	0.202937
1.26667	0.270909
1.33333	0.226713
1.4	0.2
1.46667	0.207552
1.53333	0.202098
1.6	0.213846
1.66667	0.226573
1.73333	0.275524
1.8	0.231888
1.86667	0.243077
1.93333	0.233986
2	0.245874
2.06667	0.251049
2.13333	0.249091
2.2	0.254685
2.26667	0.263636
2.33333	0.271748
2.4	0.226713
2.46667	0.275524
2.53333	0.232727
2.6	0.269371
2.66667	0.262517
2.73333	0.23035
2.8	0.237762
2.86667	0.238182
2.93333	0.459301
3	0.213986
3.06667	0.214965
3.13333	0.204895
3.2	0.172587
3.26667	0.184196
3.33333	0.174685
3.4	0.214406
3.46667	0.183636
3.53333	0.19021
3.6	0.187832
3.66667	0.216643
3.73333	0.201958
3.8	0.233427
3.86667	0.188252
3.93333	0.103357
4	0.14
4.06667	0.140699
4.13333	0.158182
4.2	0.114825
4.26667	0.117063
4.33333	0.0781818
4.4	0.0865734
4.46667	0.0714685
4.53333	0.122238
4.6	0.460839
4.66667	0.105594
4.73333	0.105734
4.8	0.0422378
4.86667	0.0478322
4.93333	0.194406
5	0.0453147
5.06667	0.0511888
5.13333	0.0560839
5.2	0.187692
5.26667	0.142797
5.33333	0.195664
5.4	0.0836364
5.46667	0.114685
5.53333	0.118741
5.6	0.123217
5.66667	0.134406
5.73333	0.153846
5.8	0.134406
5.86667	0.178601
5.93333	0.173427
6	0.195245
6.06667	0.229371
6.13333	0.231189
6.2	0.242238
6.26667	0.398601
6.33333	0.226014
6.4	0.307692
6.46667	0.276084
6.53333	0.294685
6.6	0.27972
6.66667	0.263357
6.73333	0.297902
6.8	0.28014
6.86667	0.30951
6.93333	0.304895
7	0.261958
7.06667	0.289231
7.13333	0.322797
7.2	0.308811
7.26667	0.34
7.33333	0.271608
7.4	0.34
7.46667	0.305455
7.53333	0.385594
7.6	0.353986
7.66667	0.397622
7.73333	0.399021
7.8	0.347552
7.86667	0.355105
7.93333	0.443916
8	0.413287
8.06667	0.427832
8.13333	0.416923
8.2	0.375944
8.26667	0.408112
8.33333	0.33049
8.4	0.346853
8.46667	0.340699
8.53333	0.39972
8.6	0.433427
8.66667	0.289371
8.73333	0.36979
8.8	0.368252
8.86667	0.338042
8.93333	0.363776
9	0.39049
9.06667	0.388112
9.13333	0.369091
9.2	0.401119
9.26667	0.361399
9.33333	0.24
9.4	0.393007
9.46667	0.326434
9.53333	0.306853
9.6	0.423077
9.66667	0.316923
9.73333	0.285455
9.8	0.298741
9.86667	0.326154
9.93333	0.312587
10	0.387133
10.0667	0.281818
10.1333	0.241119
10.2	0.31035
10.2667	0.326294
10.3333	0.250769
10.4	0.282517
10.4667	0.353427
10.5333	0.406294
10.6	0.398042
10.6667	0.274266
10.7333	0.326014
10.8	0.352308
10.8667	0.278042
10.9333	0.38965
11	0.293846
11.0667	0.407413
11.1333	0.283357
11.2	0.281399
11.2667	0.537343
11.3333	0.322098
11.4	0.393986
11.4667	0.340839
11.5333	0.311329
11.6	0.152587
11.6667	0.345594
11.7333	0.306853
11.8	0.378182
11.8667	0.371189
11.9333	0.269231
12	0.318042
12.0667	0.262098
12.1333	0.16979
12.2	0.303776
12.2667	0.122797
12.3333	0.206573
12.4	0.165734
12.4667	0.196364
12.5333	0.24042
12.6	0.133007
12.6667	0.18042
12.7333	0.138042
12.8	0.0560839
12.8667	0.176923
12.9333	0.299021
13	0.274126
13.0667	0.175944
13.1333	0.148392
13.2	0.208112
13.2667	0.105594
13.3333	0.301538
13.4	0.205315
13.4667	0.247273
13.5333	0.226713
13.6	0.231189
13.6667	0.182098
13.7333	0.245315
13.8	0.186154
13.8667	0.200559
13.9333	0.211189
14	0.226294
14.0667	0.301259
14.1333	0.163916
14.2	0.205594
14.2667	0.217343
14.3333	0.294545
14.4	0.264895
14.4667	0.243077
14.5333	0.140699
14.6	0.633706
14.6667	0.248811
14.7333	0.238182
14.8	0.182098
14.8667	0.135524
14.9333	0.14965
15	0.119301
15.0667	0.116503
15.1333	0.117762
15.2	0.153566
15.2667	0.11972
15.3333	0.160979
15.4	0.178741
15.4667	0.0724476
15.5333	0.264755
15.6	0.0162238
15.6667	0.141678
15.7333	0.0641958
15.8	0.0998601
15.8667	0.158601
15.9333	0.0963636
16	0.16951
16.0667	0.0682517
16.1333	0.0416783
16.2	0.0846154
16.2667	0.0553846
16.3333	0.0886713
16.4	0.0518881
16.4667	0.0288112
16.5333	0.0363636
16.6	0.0566434
16.6667	0.0584615
16.7333	0.163916
16.8	0.0391608
16.8667	0.014965
16.9333	0.0430769
17	0.11035
17.0667	0.0177622
17.1333	0.0902098
17.2	0.0916084
17.2667	0.0500699
17.3333	0.103916
17.4	0.119161
17.4667	0.0735664
17.5333	0.116783
17.6	0.17958
17.6667	0.0783217
17.7333	0.0538462
17.8	0.0653147
17.8667	0.0468531
17.9333	0.405734
18	0.123776
18.0667	0.104476
18.1333	0.165035
18.2	0.0728671
18.2667	0.103357
18.3333	0.121119
18.4	0.0886713
18.4667	0.0823776
18.5333	0.0793007
18.6	0.080979
18.6667	0.0773427
18.7333	0.0823776
18.8	0.101818
18.8667	0.0692308
18.9333	0.112308
19	0.103077
19.0667	0.0881119
19.1333	0.117483
19.2	0.122517
19.2667	0.0857343
19.3333	0.0893706
19.4	0.0847552
19.4667	0.086014
19.5333	0.078042
19.6	0.131189
19.6667	0.110909
19.7333	0.124615
19.8	0.123077
19.8667	0.154266
19.9333	0.158462
20	0.100699
20.0667	0.0632168
20.1333	0.112727
20.2	0.0458741
20.2667	0.0598601
20.3333	0.123217
20.4	0.149371
20.4667	0.048951
20.5333	0.139301
20.6	0.0370629
20.6667	0.141538
20.7333	0.0946853
20.8	0.132867
20.8667	0.154545
20.9333	0.234825
21	0.216503
21.0667	0.231748
21.1333	0.205315
21.2	0.207552
21.2667	0.646154
21.3333	0.227692
21.4	0.243636
21.4667	0.188531
21.5333	0.142517
21.6	0.251329
21.6667	0.185874
21.7333	0.113706
21.8	0.214825
21.8667	0.23007
21.9333	0.0822378
22	0.188112
22.0667	0.185594
22.1333	0.0292308
22.2	0.147133
22.2667	0.205035
22.3333	0.101119
22.4	0.0988811
22.4667	0.192168
22.5333	0.104755
22.6	0.180979
22.6667	0.111469
22.7333	0.0758042
22.8	0.0594406
22.8667	0.0606993
22.9333	0.397203
23	0.0517483
23.0667	0.0762238
23.1333	0.073007
23.2	0.0629371
23.2667	0.0829371
23.3333	0.123916
23.4	0.088951
23.4667	0.073007
23.5333	0.0974825
23.6	0.114126
23.6667	0.093007
23.7333	0.101678
23.8	0.0827972
23.8667	0.0882517
23.9333	0.131329
24	0.0836364
24.0667	0.108951
24.1333	0.0872727
24.2	0.0815385
24.2667	0.0763636
24.3333	0.0832168
24.4	0.0727273
24.4667	0.0913287
24.5333	0.0832168
24.6	0.230769
24.6667	0.121119
24.7333	0.146014
24.8	0.0675524
24.8667	0.0597203
24.9333	0.173706
25	0.0662937
25.0667	0.0727273
25.1333	0.203077
25.2	0.0918881
25.2667	0.0844755
25.3333	0.106294
25.4	0.165734
25.4667	0.0888112
25.5333	0.0706294
25.6	0.111469
25.6667	0.126573
25.7333	0.0829371
25.8	0.0758042
25.8667	0.0981818
25.9333	0.121119
26	0.0932867
26.0667	0.0917483
26.1333	0.123497
26.2	0.122517
26.2667	0.27035
26.3333	0.172867
26.4	0.166434
26.4667	0.146573
26.5333	0.15049
26.6	0.139441
26.6667	0.13986
26.7333	0.196643
26.8	0.162378
26.8667	0.163357
26.9333	0.213287
27	0.168671
27.0667	0.173287
27.1333	0.230769
27.2	0.262937
27.2667	0.21972
27.3333	0.287273
27.4	0.205315
27.4667	0.233147
27.5333	0.272587
27.6	0.297343
27.6667	0.315804
27.7333	0.247413
27.8	0.243776
27.8667	0.242378
27.9333	0.455804
28	0.282098
28.0667	0.309371
28.1333	0.26993
28.2	0.27021
28.2667	0.293566
28.3333	0.304615
28.4	0.286014
28.4667	0.298741
28.5333	0.338741
28.6	0.293147
28.6667	0.328951
28.7333	0.297902
28.8	0.322797
28.8667	0.296923
28.9333	0.372727
29	0.29972
29.0667	0.345175
29.1333	0.283357
29.2	0.331049
29.2667	0.386713
29.3333	0.342937
29.4	0.33972
29.4667	0.358322
29.5333	0.271049
29.6	0.487552
29.6667	0.347133
29.7333	0.382657
29.8	0.335105
29.8667	0.352308
29.9333	0.370769
30	0.406014
30.0667	0.295664
30.1333	0.294266
30.2	0.337063
30.2667	0.356364
30.3333	0.349091
30.4	0.314406
30.4667	0.401259
30.5333	0.406434
30.6	0.322098
30.6667	0.305315
30.7333	0.26951
