time_sec	Dynamic_density
0.0666667	0.087
0.133333	0.0896608
0.2	0.0997516
0.266667	0.0890965
0.333333	0.0906248
0.4	0.0847349
0.466667	0.117127
0.533333	0.115164
0.6	0.134985
0.666667	0.133386
0.733333	0.0939714
0.8	0.135784
0.866667	0.0955859
0.933333	0.0644868
1	0.107667
1.06667	0.074703
1.13333	0.0803773
1.2	0.0915692
1.26667	0.126517
1.33333	0.10813
1.4	0.0922119
1.46667	0.0762587
1.53333	0.0914987
1.6	0.0927409
1.66667	0.103533
1.73333	0.120913
1.8	0.0877876
1.86667	0.106507
1.93333	0.112495
2	0.106472
2.06667	0.097996
2.13333	0.123746
2.2	0.115474
2.26667	0.103913
2.33333	0.122194
2.4	0.123429
2.46667	0.105414
2.53333	0.116089
2.6	0.125619
2.66667	0.133108
2.73333	0.127888
2.8	0.116853
2.86667	0.125082
2.93333	0.206106
3	0.138371
3.06667	0.123472
3.13333	0.111057
3.2	0.128405
3.26667	0.119196
3.33333	0.0878856
3.4	0.111743
3.46667	0.0999005
3.53333	0.0879757
3.6	0.102812
3.66667	0.101648
3.73333	0.0717012
3.8	0.115035
3.86667	0.0965735
3.93333	0.10032
4	0.100057
4.06667	0.0959033
4.13333	0.0554463
4.2	0.0955977
4.26667	0.0658819
4.33333	0.0451478
4.4	0.06462
4.46667	0.0874976
4.53333	0.0581541
4.6	0.155018
4.66667	0.0984349
4.73333	0.0661679
4.8	0.0872351
4.86667	0.0597334
4.93333	0.0849074
5	0.0872312
5.06667	0.0586322
5.13333	0.0775989
5.2	0.161244
5.26667	0.0884107
5.33333	0.11518
5.4	0.0728416
5.46667	0.0887242
5.53333	0.0774265
5.6	0.107534
5.66667	0.085264
5.73333	0.0993832
5.8	0.0888653
5.86667	0.104615
5.93333	0.102459
6	0.131772
6.06667	0.110458
6.13333	0.101072
6.2	0.102887
6.26667	0.207607
6.33333	0.144029
6.4	0.14419
6.46667	0.103772
6.53333	0.109302
6.6	0.125556
6.66667	0.119526
6.73333	0.128233
6.8	0.121391
6.86667	0.139488
6.93333	0.13002
7	0.0874467
7.06667	0.0904014
7.13333	0.113714
7.2	0.090903
7.26667	0.0936226
7.33333	0.0981214
7.4	0.0943829
7.46667	0.101687
7.53333	0.12366
7.6	0.107138
7.66667	0.109925
7.73333	0.111328
7.8	0.109697
7.86667	0.120685
7.93333	0.216005
8	0.17157
8.06667	0.150973
8.13333	0.154724
8.2	0.163212
8.26667	0.131732
8.33333	0.160139
8.4	0.169364
8.46667	0.158282
8.53333	0.148379
8.6	0.150946
8.66667	0.133743
8.73333	0.149112
8.8	0.132065
8.86667	0.145025
8.93333	0.141012
9	0.135867
9.06667	0.136549
9.13333	0.1418
9.2	0.130643
9.26667	0.136192
9.33333	0.162495
9.4	0.145687
9.46667	0.147043
9.53333	0.15405
9.6	0.216111
9.66667	0.177785
9.73333	0.157514
9.8	0.134511
9.86667	0.144233
9.93333	0.138445
10	0.1387
10.0667	0.126615
10.1333	0.126967
10.2	0.122084
10.2667	0.117025
10.3333	0.115807
10.4	0.138457
10.4667	0.127935
10.5333	0.134887
10.6	0.127339
10.6667	0.124949
10.7333	0.134793
10.8	0.127296
10.8667	0.117425
10.9333	0.176998
11	0.142846
11.0667	0.117253
11.1333	0.13042
11.2	0.12623
11.2667	0.245301
11.3333	0.160633
11.4	0.14198
11.4667	0.15691
11.5333	0.0783396
11.6	0.0958328
11.6667	0.153697
11.7333	0.143167
11.8	0.136212
11.8667	0.136956
11.9333	0.128119
12	0.138919
12.0667	0.140855
12.1333	0.0919572
12.2	0.138853
12.2667	0.120039
12.3333	0.0934463
12.4	0.111347
12.4667	0.125345
12.5333	0.054302
12.6	0.0975688
12.6667	0.105022
12.7333	0.0605602
12.8	0.0767681
12.8667	0.053577
12.9333	0.171276
13	0.104775
13.0667	0.0838336
13.1333	0.0825953
13.2	0.0814785
13.2667	0.0727553
13.3333	0.0803577
13.4	0.0738291
13.4667	0.0725437
13.5333	0.0769327
13.6	0.0643536
13.6667	0.0825326
13.7333	0.0702395
13.8	0.0797895
13.8667	0.0624726
13.9333	0.0466213
14	0.058785
14.0667	0.0746834
14.1333	0.070361
14.2	0.0632406
14.2667	0.0598313
14.3333	0.0653646
14.4	0.0791625
14.4667	0.0515746
14.5333	0.0773481
14.6	0.206678
14.6667	0.145001
14.7333	0.080828
14.8	0.0815725
14.8667	0.0838689
14.9333	0.0881756
15	0.0554776
15.0667	0.079523
15.1333	0.097655
15.2	0.0829715
15.2667	0.0661915
15.3333	0.0883911
15.4	0.0820663
15.4667	0.0562888
15.5333	0.0734725
15.6	0.0531029
15.6667	0.0537769
15.7333	0.0647885
15.8	0.0641028
15.8667	0.0531812
15.9333	0.0730806
16	0.0532635
16.0667	0.0641772
16.1333	0.0501834
16.2	0.0328195
16.2667	0.130083
16.3333	0.12498
16.4	0.0889829
16.4667	0.0994185
16.5333	0.0775127
16.6	0.0738134
16.6667	0.0919689
16.7333	0.0534595
16.8	0.0550034
16.8667	0.0553052
16.9333	0.0580444
17	0.0717443
17.0667	0.0661248
17.1333	0.0631466
17.2	0.0662306
17.2667	0.0552503
17.3333	0.0824777
17.4	0.0749028
17.4667	0.0591573
17.5333	0.0713642
17.6	0.0579112
17.6667	0.061681
17.7333	0.0843783
17.8	0.0449401
17.8667	0.0556422
17.9333	0.174925
18	0.104634
18.0667	0.0733667
18.1333	0.0878817
18.2	0.0610305
18.2667	0.0524249
18.3333	0.0624412
18.4	0.0569589
18.4667	0.0457944
18.5333	0.0501011
18.6	0.0419423
18.6667	0.0451635
18.7333	0.0598157
18.8	0.0397086
18.8667	0.0511239
18.9333	0.0784297
19	0.0565514
19.0667	0.0505635
19.1333	0.0666539
19.2	0.0412839
19.2667	0.0474128
19.3333	0.0685584
19.4	0.0492155
19.4667	0.0576329
19.5333	0.0557833
19.6	0.139284
19.6667	0.10485
19.7333	0.110117
19.8	0.0948061
19.8667	0.0986582
19.9333	0.111915
20	0.0819487
20.0667	0.0914673
20.1333	0.0746481
20.2	0.0799227
20.2667	0.0617045
20.3333	0.069154
20.4	0.0617398
20.4667	0.0519116
20.5333	0.0493683
20.6	0.0436234
20.6667	0.0515863
20.7333	0.0485806
20.8	0.0413937
20.8667	0.0660896
20.9333	0.0365658
21	0.0626881
21.0667	0.0639774
21.1333	0.0717757
21.2	0.0532087
21.2667	0.185936
21.3333	0.102048
21.4	0.103439
21.4667	0.0746951
21.5333	0.0790488
21.6	0.0980469
21.6667	0.0840492
21.7333	0.0947042
21.8	0.0832889
21.8667	0.0814354
21.9333	0.0704668
22	0.112687
22.0667	0.0719912
22.1333	0.0642791
22.2	0.050297
22.2667	0.0635777
22.3333	0.053432
22.4	0.0615634
22.4667	0.0611049
22.5333	0.057339
22.6	0.0559596
22.6667	0.0334033
22.7333	0.0396655
22.8	0.0493448
22.8667	0.0518253
22.9333	0.169035
23	0.101217
23.0667	0.090758
23.1333	0.104003
23.2	0.0766976
23.2667	0.0759217
23.3333	0.0841706
23.4	0.0594551
23.4667	0.0608424
23.5333	0.127202
23.6	0.141804
23.6667	0.0982154
23.7333	0.087768
23.8	0.0641811
23.8667	0.0575271
23.9333	0.0762705
24	0.0536593
24.0667	0.0466173
24.1333	0.0581894
24.2	0.0756552
24.2667	0.0548741
24.3333	0.055074
24.4	0.0560262
24.4667	0.053436
24.5333	0.0494937
24.6	0.148885
24.6667	0.124585
24.7333	0.0820232
24.8	0.0883402
24.8667	0.0997398
24.9333	0.0843901
25	0.0607052
25.0667	0.0741112
25.1333	0.0728455
25.2	0.0652314
25.2667	0.0519939
25.3333	0.0753535
25.4	0.0458885
25.4667	0.0549917
25.5333	0.0479771
25.6	0.0527776
25.6667	0.0534555
25.7333	0.0443288
25.8	0.0508261
25.8667	0.0517587
25.9333	0.0719873
26	0.0568139
26.0667	0.0608972
26.1333	0.0670066
26.2	0.0536005
26.2667	0.148364
26.3333	0.102158
26.4	0.0983761
26.4667	0.0882422
26.5333	0.0856872
26.6	0.0808515
26.6667	0.0844528
26.7333	0.0816822
26.8	0.077305
26.8667	0.0682841
26.9333	0.0817097
27	0.0838297
27.0667	0.0767564
27.1333	0.0944181
27.2	0.0826815
27.2667	0.0859458
27.3333	0.0950138
27.4	0.0886576
27.4667	0.0976903
27.5333	0.116124
27.6	0.109815
27.6667	0.113459
27.7333	0.122206
27.8	0.123295
27.8667	0.121606
27.9333	0.258849
28	0.176743
28.0667	0.153097
28.1333	0.181473
28.2	0.154845
28.2667	0.162945
28.3333	0.175058
28.4	0.177347
28.4667	0.162835
28.5333	0.195921
28.6	0.182335
28.6667	0.209723
28.7333	0.220053
28.8	0.214108
28.8667	0.232452
28.9333	0.211553
29	0.221573
29.0667	0.223192
29.1333	0.248523
29.2	0.233518
29.2667	0.246873
29.3333	0.252347
29.4	0.252465
29.4667	0.252782
29.5333	0.251818
29.6	0.311364
29.6667	0.293992
29.7333	0.262928
29.8	0.302499
29.8667	0.268598
29.9333	0.278066
30	0.28113
30.0667	0.273387
30.1333	0.253464
30.2	0.253789
30.2667	0.260428
30.3333	0.25114
30.4	0.261478
30.4667	0.275284
30.5333	0.25359
30.6	0.275213
30.6667	0.256681
30.7333	0.24835
30.8	0.255972
30.8667	0.260526
30.9333	0.248248
31	0.276385
31.0667	0.264213
31.1333	0.247578
31.2	0.264397
31.2667	0.320663
31.3333	0.305356
31.4	0.27111
31.4667	0.268061
31.5333	0.271581
31.6	0.262234
31.6667	0.241449
31.7333	0.253868
31.8	0.260063
31.8667	0.270687
31.9333	0.255036
32	0.269582
32.0667	0.222381
32.1333	0.255149
32.2	0.234047
32.2667	0.231911
32.3333	0.225414
32.4	0.266635
32.4667	0.244647
32.5333	0.155284
32.6	0.253496
32.6667	0.260871
32.7333	0.180846
32.8	0.236994
32.8667	0.25326
32.9333	0.238984
33	0.264405
33.0667	0.154963
33.1333	0.129542
33.2	0.0913302
33.2667	0.148266
33.3333	0.147658
33.4	0.125729
33.4667	0.061779
33.5333	0.0777635
33.6	0.0857185
33.6667	0.0788333
33.7333	0.0875839
33.8	0.0567434
33.8667	0.0738722
33.9333	0.0770464
34	0.0900017
34.0667	0.081933
34.1333	0.0931955
34.2	0.0891984
34.2667	0.102738
34.3333	0.105634
34.4	0.0905895
34.4667	0.104983
34.5333	0.103035
34.6	0.221448
34.6667	0.123154
34.7333	0.129119
34.8	0.107671
34.8667	0.117664
34.9333	0.106997
35	0.127669
35.0667	0.1217
35.1333	0.118867
35.2	0.123358
35.2667	0.113032
35.3333	0.0998143
35.4	0.0782651
35.4667	0.0929682
35.5333	0.0879757
35.6	0.0966362
35.6667	0.0906013
35.7333	0.110971
35.8	0.0834574
35.8667	0.0791076
35.9333	0.116112
36	0.0923765
36.0667	0.0964755
36.1333	0.0980782
36.2	0.116249
36.2667	0.254918
36.3333	0.156228
36.4	0.129851
36.4667	0.126164
36.5333	0.167965
36.6	0.100653
36.6667	0.129271
36.7333	0.142047
36.8	0.137673
36.8667	0.148027
36.9333	0.138214
37	0.13328
37.0667	0.135197
37.1333	0.139221
37.2	0.148101
37.2667	0.165986
37.3333	0.165214
37.4	0.198327
37.4667	0.231825
37.5333	0.231159
37.6	0.283866
37.6667	0.281946
37.7333	0.242072
37.8	0.308052
37.8667	0.239078
37.9333	0.23554
38	0.268387
38.0667	0.260733
38.1333	0.151608
38.2	0.254185
38.2667	0.189671
38.3333	0.152623
38.4	0.133637
38.4667	0.0778144
38.5333	0.0931289
38.6	0.0511748
38.6667	0.090131
38.7333	0.0634366
38.8	0.118558
38.8667	0.12759
38.9333	0.133974
39	0.0940929
39.0667	0.146573
39.1333	0.118648
39.2	0.118272
39.2667	0.0936462
39.3333	0.115399
39.4	0.143963
39.4667	0.154818
39.5333	0.0986425
39.6	0.219555
39.6667	0.127833
39.7333	0.132885
39.8	0.107836
39.8667	0.0942026
39.9333	0.12607
40	0.100112
40.0667	0.0889123
40.1333	0.100304
40.2	0.0987092
40.2667	0.109399
40.3333	0.11766
40.4	0.0983604
40.4667	0.103349
40.5333	0.120004
40.6	0.0997751
