time_sec	dynamic_density
0.0666667	0.0699613
0.466667	0.116195
0.866667	0.100719
1.26667	0.0883872
1.66667	0.0809024
2.06667	0.0996967
2.46667	0.0948022
2.86667	0.0946219
3.26667	0.122539
3.66667	0.105884
4.06667	0.0900135
4.46667	0.0265377
4.86667	0.0262125
5.26667	0.0384546
5.66667	0.077979
6.06667	0.108365
6.46667	0.116089
6.86667	0.107887
7.26667	0.117386
7.66667	0.113698
8.06667	0.117782
8.46667	0.147012
8.86667	0.141396
9.26667	0.158074
9.66667	0.179604
10.0667	0.142168
10.4667	0.141216
10.8667	0.142623
11.2667	0.141196
11.6667	0.114623
12.0667	0.127484
12.4667	0.0939401
12.8667	0.0771757
13.2667	0.0373221
13.6667	0.0232695
14.0667	0.0338618
14.4667	0.0339598
14.8667	0.043933
15.2667	0.0397439
15.6667	0.0386976
16.0667	0.0342576
16.4667	0.0254757
16.8667	0.0322395
17.2667	0.0117719
17.6667	0.0237946
18.0667	0.0619788
18.4667	0.0139546
18.8667	0.0331447
19.2667	0.0409783
19.6667	0.0303075
20.0667	0.0450067
20.4667	0.0278035
20.8667	0.0354528
21.2667	0.0830342
21.6667	0.0902173
22.0667	0.0537416
22.4667	0.0264515
22.8667	0.0114192
23.2667	0.033709
23.6667	0.0302017
24.0667	0.0235164
24.4667	0.0236026
24.8667	0.0231441
25.2667	0.0170857
25.6667	0.0208399
26.0667	0.0524641
26.4667	0.0691227
26.8667	0.0678608
27.2667	0.0643967
27.6667	0.100876
28.0667	0.1333
28.4667	0.121889
28.8667	0.156757
29.2667	0.204511
29.6667	0.250474
30.0667	0.253782
30.4667	0.262646
30.8667	0.24799
31.2667	0.272302
31.6667	0.255478
32.0667	0.256341
32.4667	0.237252
32.8667	0.239
33.2667	0.0302605
33.6667	0.0494114
34.0667	0.0712819
34.4667	0.0850719
34.8667	0.0993283
35.2667	0.0713681
35.6667	0.0801343
36.0667	0.0806634
36.4667	0.0998378
36.8667	0.101715
37.2667	0.096738
37.6667	0.242503
38.0667	0.129554
38.4667	0.0397987
38.8667	0.0507203
39.2667	0.0699456
39.6667	0.0776107
40.0667	0.0706784
40.4667	0.090135
40.8667	0.0922668
41.2667	0.105081
41.6667	0.110199
42.0667	0.125106
42.4667	0.121332
42.8667	0.080632
43.2667	0.0533537
43.6667	0.0616849
44.0667	0.072916
44.4667	0.0733628
44.8667	0.102655
45.2667	0.110638
45.6667	0.1063
46.0667	0.111081
46.4667	0.170156
46.8667	0.134491
47.2667	0.147497
47.6667	0.124404
48.0667	0.113722
48.4667	0.177484
48.8667	0.13839
49.2667	0.0168819
49.6667	0.16222
50.0667	0.0197348
50.4667	0.00435372
50.8667	0.00678334
51.2667	0.0474599
51.6667	0.0184259
52.0667	0.0157416
52.4667	0.0198367
52.8667	0.0210436
53.2667	0.0318633
53.6667	0.0376082
54.0667	0.0531499
54.4667	0.067132
54.8667	0.0549368
55.2667	0.0254679
55.6667	0.0330076
56.0667	0.0271294
56.4667	0.0659955
56.8667	0.027776
57.2667	0.0237005
57.6667	0.0433374
58.0667	0.0711016
58.4667	0.0568374
58.8667	0.0588634
59.2667	0.040414
59.6667	0.0361465
60.0667	0.0247664
60.4667	0.0772619
60.8667	0.0127477
61.2667	0.026377
61.6667	0.0101535
62.0667	0.111034
62.4667	0.0204284
62.8667	0.0228619
63.2667	0.0308562
63.6667	0.0717169
64.0667	0.0443131
64.4667	0.0535496
64.8667	0.0192449
65.2667	0.0632994
65.6667	0.0542628
66.0667	0.0362092
66.4667	0.0237593
66.8667	0.0279994
67.2667	0.0679431
67.6667	0.0390777
68.0667	0.0368362
68.4667	0.0371732
68.8667	0.0355351
69.2667	0.0873683
69.6667	0.037228
70.0667	0.0367931
70.4667	0.0346965
70.8667	0.0458022
71.2667	0.0334269
71.6667	0.0323139
72.0667	0.0326901
72.4667	0.0647768
72.8667	0.0406452
73.2667	0.03202
73.6667	0.0319887
74.0667	0.0938538
74.4667	0.0421735
74.8667	0.0390267
75.2667	0.0375024
75.6667	0.0645456
76.0667	0.0599019
76.4667	0.0499875
76.8667	0.0476715
77.2667	0.0416209
77.6667	0.0756552
78.0667	0.0520252
78.4667	0.0333759
78.8667	0.0368949
79.2667	0.0495368
79.6667	0.0277368
80.0667	0.0245666
80.4667	0.0190059
80.8667	0.0744208
81.2667	0.0877406
81.6667	0.0642203
82.0667	0.0309032
82.4667	0.0486198
82.8667	0.0525346
83.2667	0.0445914
83.6667	0.0392658
84.0667	0.059318
84.4667	0.0351041
84.8667	0.0284932
85.2667	0.0335327
85.6667	0.0520448
86.0667	0.0389288
86.4667	0.0418326
86.8667	0.032698
87.2667	0.0322748
87.6667	0.0432943
88.0667	0.0385291
88.4667	0.0168623
88.8667	0.0205381
89.2667	0.103376
89.6667	0.0434667
90.0667	0.0444228
90.4667	0.0492233
90.8667	0.0531264
91.2667	0.0488314
91.6667	0.0514335
92.0667	0.0481339
92.4667	0.0581776
92.8667	0.043063
93.2667	0.0362052
93.6667	0.0365462
94.0667	0.0469857
94.4667	0.032937
94.8667	0.0241512
95.2667	0.193762
95.6667	0.233173
96.0667	0.287839
96.4667	0.294011
96.8667	0.372606
97.2667	0.39457
97.6667	0.416884
98.0667	0.504193
98.4667	0.397497
98.8667	0.414536
99.2667	0.312045
99.6667	0.427472
