time_sec	queue_density
0.0666667	0.0712349
0.2	0.0684682
0.333333	0.0709214
0.466667	0.0753809
0.6	0.0808319
0.733333	0.0860712
0.866667	0.0884813
1	0.0907816
1.13333	0.0941595
1.26667	0.0959896
1.4	0.0978706
1.53333	0.100477
1.66667	0.103772
1.8	0.107283
1.93333	0.111872
2.06667	0.113016
2.2	0.1146
2.33333	0.115579
2.46667	0.116187
2.6	0.117672
2.73333	0.119145
2.86667	0.120023
3	0.122339
3.13333	0.122892
3.26667	0.123429
3.4	0.124886
3.53333	0.12913
3.66667	0.132308
3.8	0.134421
3.93333	0.13687
4.06667	0.136513
4.2	0.134362
4.33333	0.131266
4.46667	0.129507
4.6	0.127053
4.73333	0.125611
4.86667	0.127508
5	0.129052
5.13333	0.131368
5.26667	0.135271
5.4	0.140017
5.53333	0.146698
5.66667	0.156193
5.8	0.165602
5.93333	0.177041
6.06667	0.185819
6.2	0.189683
6.33333	0.193065
6.46667	0.196756
6.6	0.197951
6.73333	0.19799
6.86667	0.196744
7	0.194005
7.13333	0.193272
7.26667	0.193041
7.4	0.196368
7.53333	0.199644
7.66667	0.203461
7.8	0.206353
7.93333	0.207047
8.06667	0.205926
8.2	0.206
8.33333	0.207881
8.46667	0.208438
8.6	0.210252
8.73333	0.212121
8.86667	0.214261
9	0.216546
9.13333	0.221997
9.26667	0.225782
9.4	0.229043
9.53333	0.229775
9.66667	0.230967
9.8	0.22992
9.93333	0.227314
10.0667	0.225998
10.2	0.22416
10.3333	0.222157
10.4667	0.219849
10.6	0.217345
10.7333	0.216459
10.8667	0.2145
11	0.213062
11.1333	0.212427
11.2667	0.211373
11.4	0.211259
11.5333	0.210009
11.6667	0.209731
11.8	0.209288
11.9333	0.208971
12.0667	0.209128
12.2	0.208845
12.3333	0.208199
12.4667	0.206968
12.6	0.206765
12.7333	0.206851
12.8667	0.20629
13	0.207717
13.1333	0.208234
13.2667	0.208336
13.4	0.208414
13.5333	0.20841
13.6667	0.208712
13.8	0.207936
13.9333	0.207689
14.0667	0.208156
14.2	0.208226
14.3333	0.207752
14.4667	0.207458
14.6	0.207529
14.7333	0.207952
14.8667	0.207564
15	0.207227
15.1333	0.207239
15.2667	0.206757
15.4	0.206859
15.5333	0.207192
15.6667	0.207729
15.8	0.207611
15.9333	0.206314
16.0667	0.205706
16.2	0.206823
16.3333	0.206392
16.4667	0.206682
16.6	0.206431
16.7333	0.205981
16.8667	0.205326
17	0.205123
17.1333	0.205409
17.2667	0.205726
17.4	0.205538
17.5333	0.205593
17.6667	0.20562
17.8	0.205475
17.9333	0.205287
18.0667	0.204186
18.2	0.20381
18.3333	0.205691
18.4667	0.207791
18.6	0.209233
18.7333	0.212835
18.8667	0.215868
19	0.21867
19.1333	0.219257
19.2667	0.218815
19.4	0.217592
19.5333	0.215621
19.6667	0.215198
19.8	0.212995
19.9333	0.210166
20.0667	0.209135
20.2	0.207764
20.3333	0.20736
20.4667	0.20689
20.6	0.20669
20.7333	0.207544
20.8667	0.206051
21	0.207105
21.1333	0.20591
21.2667	0.205017
21.4	0.205569
21.5333	0.205275
21.6667	0.205871
21.8	0.205942
21.9333	0.206004
22.0667	0.205565
22.2	0.205444
22.3333	0.205632
22.4667	0.205652
22.6	0.205961
22.7333	0.20803
22.8667	0.209864
23	0.212243
23.1333	0.213665
23.2667	0.21381
23.4	0.213297
23.5333	0.212987
23.6667	0.212392
23.8	0.212435
23.9333	0.212611
24.0667	0.213117
24.2	0.213019
24.3333	0.212846
24.4667	0.212674
24.6	0.211992
24.7333	0.210848
24.8667	0.210852
25	0.210613
25.1333	0.209892
25.2667	0.209625
25.4	0.20997
25.5333	0.211851
25.6667	0.213685
25.8	0.214966
25.9333	0.217913
26.0667	0.219073
26.2	0.220363
26.3333	0.222561
26.4667	0.222894
26.6	0.223588
26.7333	0.224089
26.8667	0.225892
27	0.229384
27.1333	0.2365
27.2667	0.241802
27.4	0.247292
27.5333	0.255933
27.6667	0.262109
27.8	0.268516
27.9333	0.275284
28.0667	0.279833
28.2	0.285766
28.3333	0.296288
28.4667	0.30208
28.6	0.307578
28.7333	0.314984
28.8667	0.320185
29	0.326698
29.1333	0.331435
29.2667	0.332521
29.4	0.33432
29.5333	0.335801
29.6667	0.340217
29.8	0.342302
29.9333	0.346307
30.0667	0.350167
30.2	0.352706
30.3333	0.355951
30.4667	0.358306
30.6	0.359619
30.7333	0.361806
30.8667	0.36246
31	0.363252
31.1333	0.363585
31.2667	0.364094
31.4	0.367021
31.5333	0.367507
31.6667	0.367578
31.8	0.366285
31.9333	0.365811
32.0667	0.366159
32.2	0.36565
32.3333	0.366543
32.4667	0.367037
32.6	0.366857
32.7333	0.36672
32.8667	0.367076
33	0.366826
33.1333	0.368397
33.2667	0.370783
33.4	0.376238
33.5333	0.384507
33.6667	0.391388
33.8	0.399422
33.9333	0.406683
34.0667	0.409222
34.2	0.411758
34.3333	0.415469
34.4667	0.420512
34.6	0.425665
34.7333	0.438695
34.8667	0.442567
35	0.447262
35.1333	0.45002
35.2667	0.453273
35.4	0.455565
35.5333	0.456267
35.6667	0.458383
35.8	0.459218
35.9333	0.461232
36.0667	0.461518
36.2	0.463469
36.3333	0.460487
36.4667	0.460338
36.6	0.458939
36.7333	0.456592
36.8667	0.456573
37	0.455048
37.1333	0.454668
37.2667	0.454151
37.4	0.453622
37.5333	0.453053
37.6667	0.451071
37.8	0.450953
37.9333	0.451901
38.0667	0.453755
38.2	0.454817
38.3333	0.458646
38.4667	0.461718
38.6	0.465202
38.7333	0.470386
38.8667	0.474344
39	0.477561
39.1333	0.482495
39.2667	0.486026
39.4	0.490399
39.5333	0.498217
39.6667	0.508852
39.8	0.520581
39.9333	0.528736
40.0667	0.533936
40.2	0.538212
40.3333	0.543012
40.4667	0.551151
40.6	0.557241
40.7333	0.564064
40.8667	0.567536
41	0.571458
41.1333	0.57531
41.2667	0.577293
41.4	0.58383
41.5333	0.584947
41.6667	0.586208
41.8	0.586161
41.9333	0.587168
42.0667	0.589328
42.2	0.590539
42.3333	0.591452
42.4667	0.591722
42.6	0.591381
42.7333	0.5918
42.8667	0.591593
43	0.596193
43.1333	0.597447
43.2667	0.599168
43.4	0.600092
43.5333	0.601515
43.6667	0.603514
43.8	0.603976
43.9333	0.605336
44.0667	0.606645
44.2	0.608706
44.3333	0.610219
44.4667	0.611085
