time_sec	dynamic_density
0.0666667	0.12844
0.133333	0.115653
0.2	0.122489
0.266667	0.107364
0.333333	0.103539
0.4	0.110588
0.466667	0.118133
0.533333	0.112288
0.6	0.10361
0.666667	0.0964543
0.733333	0.135844
0.8	0.133506
0.866667	0.119054
0.933333	0.108108
1	0.115122
1.06667	0.120506
1.13333	0.112005
1.2	0.117424
1.26667	0.148666
1.33333	0.122348
1.4	0.118451
1.46667	0.119514
1.53333	0.117176
1.6	0.124048
1.66667	0.129574
1.73333	0.133435
1.8	0.144912
1.86667	0.145797
1.93333	0.139138
2	0.148277
2.06667	0.148383
2.13333	0.148808
2.2	0.151358
2.26667	0.148843
2.33333	0.148985
2.4	0.143743
2.46667	0.146258
2.53333	0.155361
2.6	0.14562
2.66667	0.144805
2.73333	0.145301
2.8	0.141972
2.86667	0.134108
2.93333	0.288406
3	0.151181
3.06667	0.148773
3.13333	0.0968085
3.2	0.124898
3.26667	0.137402
3.33333	0.122348
3.4	0.139953
3.46667	0.131912
3.53333	0.0998193
3.6	0.123198
3.66667	0.0961
3.73333	0.0855088
3.8	0.0935496
3.86667	0.0877404
3.93333	0.0850484
4	0.089547
4.06667	0.0964188
4.13333	0.0699231
4.2	0.0993943
4.26667	0.0483157
4.33333	0.0575608
4.4	0.0497326
4.46667	0.0482803
4.53333	0.045234
4.6	0.210797
4.66667	0.0933371
4.73333	0.0673727
4.8	0.044313
4.86667	0.0510432
4.93333	0.0637597
5	0.0587298
5.06667	0.0902554
5.13333	0.0709504
5.2	0.0948603
5.26667	0.0951436
5.33333	0.120612
5.4	0.0885551
5.46667	0.100457
5.53333	0.104956
5.6	0.0984733
5.66667	0.114519
5.73333	0.112465
5.8	0.134675
5.86667	0.134568
5.93333	0.152563
6	0.140484
6.06667	0.159116
6.13333	0.163402
6.2	0.170628
6.26667	0.247069
6.33333	0.218837
6.4	0.198505
6.46667	0.181113
6.53333	0.207715
6.6	0.183628
6.66667	0.171868
6.73333	0.209663
6.8	0.167582
6.86667	0.178952
6.93333	0.168715
7	0.17332
7.06667	0.196557
7.13333	0.197443
7.2	0.200347
7.26667	0.212674
7.33333	0.171903
7.4	0.208919
7.46667	0.212107
7.53333	0.21356
7.6	0.218377
7.66667	0.233006
7.73333	0.230704
7.8	0.230279
7.86667	0.233502
7.93333	0.402217
8	0.242499
8.06667	0.247423
8.13333	0.250186
8.2	0.251745
8.26667	0.260175
8.33333	0.2736
8.4	0.245971
8.46667	0.256916
8.53333	0.190216
8.6	0.254472
8.66667	0.270377
8.73333	0.255924
8.8	0.250824
8.86667	0.269137
8.93333	0.264461
9	0.255924
9.06667	0.249123
9.13333	0.215756
9.2	0.231766
9.26667	0.260742
9.33333	0.281676
9.4	0.260317
9.46667	0.224399
9.53333	0.238638
9.6	0.341362
9.66667	0.227197
9.73333	0.214551
9.8	0.249159
9.86667	0.219298
9.93333	0.272112
10	0.236761
10.0667	0.225709
10.1333	0.166838
10.2	0.252666
10.2667	0.181361
10.3333	0.191669
10.4	0.228153
10.4667	0.205767
10.5333	0.195317
10.6	0.205448
10.6667	0.213134
10.7333	0.189366
10.8	0.210301
10.8667	0.224859
10.9333	0.158726
11	0.184584
11.0667	0.197761
11.1333	0.164287
11.2	0.175623
11.2667	0.237824
11.3333	0.230491
11.4	0.225391
11.4667	0.201268
11.5333	0.183238
11.6	0.149516
11.6667	0.164429
11.7333	0.0902908
11.8	0.19475
11.8667	0.205377
11.9333	0.126103
12	0.188977
12.0667	0.123552
12.1333	0.179838
12.2	0.150685
12.2667	0.155361
12.3333	0.0992172
12.4	0.148454
12.4667	0.148489
12.5333	0.120754
12.6	0.100244
12.6667	0.142078
12.7333	0.117282
12.8	0.130601
12.8667	0.129786
12.9333	0.476816
13	0.159293
13.0667	0.0856859
13.1333	0.165386
13.2	0.0753427
13.2667	0.0685417
13.3333	0.105097
13.4	0.061599
13.4667	0.0757324
13.5333	0.206369
13.6	0.0936559
13.6667	0.13719
13.7333	0.122277
13.8	0.0565336
13.8667	0.102441
13.9333	0.231944
14	0.0400269
14.0667	0.201304
14.1333	0.178456
14.2	0.0892282
14.2667	0.0563565
14.3333	0.108037
14.4	0.153448
14.4667	0.102263
14.5333	0.217881
14.6	0.464029
14.6667	0.210301
14.7333	0.176437
14.8	0.111261
14.8667	0.125713
14.9333	0.267259
15	0.121816
15.0667	0.221246
15.1333	0.228401
15.2	0.105274
15.2667	0.0952499
15.3333	0.0748114
15.4	0.0551876
15.4667	0.0319507
15.5333	0.0716234
15.6	0.0874571
15.6667	0.0705962
15.7333	0.102193
15.8	0.0449152
15.8667	0.0624137
15.9333	0.0479615
16	0.073855
16.0667	0.0297545
16.1333	0.041125
16.2	0.0357763
16.2667	0.078389
16.3333	0.0465092
16.4	0.0338281
16.4667	0.0269562
16.5333	0.0255747
16.6	0.0323758
16.6667	0.0391768
16.7333	0.0437817
