time_sec	dynamic_density
0.0666667	0.0291584
0.133333	0.100226
0.2	0.231907
0.266667	0.117483
0.333333	0.167196
0.4	0.136618
0.466667	0.213171
0.533333	0.159026
0.6	0.197175
0.666667	0.194386
0.733333	0.137728
0.8	0.149272
0.866667	0.154783
0.933333	0.120513
1	0.133497
1.06667	0.164376
1.13333	0.119004
1.2	0.153114
1.26667	0.115794
1.33333	0.0859386
1.4	0.171239
1.46667	0.103217
1.53333	0.0705527
1.6	0.134479
1.66667	0.185226
1.73333	0.094355
1.8	0.159685
1.86667	0.205665
1.93333	0.0766005
2	0.156368
2.06667	0.117291
2.13333	0.104518
2.2	0.105688
2.26667	0.153556
2.33333	0.112569
2.4	0.142901
2.46667	0.105131
2.53333	0.122076
2.6	0.112977
2.66667	0.0921414
2.73333	0.0786125
2.8	0.118363
2.86667	0.105219
2.93333	0.0669686
3	0.134958
3.06667	0.123908
3.13333	0.0948366
3.2	0.148805
3.26667	0.0816152
3.33333	0.0973813
3.4	0.122602
3.46667	0.116742
3.53333	0.0803246
3.6	0.124028
3.66667	0.156287
3.73333	0.0771796
3.8	0.152182
3.86667	0.106066
3.93333	0.0959364
4	0.103127
4.06667	0.237132
4.13333	0.108366
4.2	0.209028
4.26667	0.108497
4.33333	0.144114
4.4	0.0811288
4.46667	0.0896592
4.53333	0.110411
4.6	0.0957225
4.66667	0.102857
4.73333	0.0774615
4.8	0.127864
4.86667	0.0942917
4.93333	0.100228
5	0.148637
5.06667	0.131396
5.13333	0.103556
5.2	0.17141
5.26667	0.15712
5.33333	0.170419
5.4	0.170088
5.46667	0.237028
5.53333	0.110329
5.6	0.115855
5.66667	0.148788
5.73333	0.106445
5.8	0.127285
5.86667	0.175001
5.93333	0.118788
6	0.189895
6.06667	0.182993
6.13333	0.158685
6.2	0.172507
6.26667	0.164854
6.33333	0.172022
6.4	0.225829
6.46667	0.241807
6.53333	0.161714
6.6	0.16964
6.66667	0.218857
6.73333	0.147635
6.8	0.1896
6.86667	0.216999
6.93333	0.118564
7	0.177244
7.06667	0.18401
7.13333	0.130778
7.2	0.195774
7.26667	0.19484
7.33333	0.120195
7.4	0.17068
7.46667	0.179259
7.53333	0.14477
7.6	0.173285
7.66667	0.180331
7.73333	0.103693
7.8	0.256936
7.86667	0.194706
7.93333	0.152103
8	0.200921
8.06667	0.17751
8.13333	0.131906
8.2	0.195853
8.26667	0.170566
8.33333	0.160445
8.4	0.162523
8.46667	0.189619
8.53333	0.146574
8.6	0.1466
8.66667	0.159417
8.73333	0.122324
8.8	0.210967
8.86667	0.216241
8.93333	0.117018
9	0.224625
9.06667	0.138765
9.13333	0.0930167
9.2	0.179528
9.26667	0.185147
9.33333	0.197194
9.4	0.174151
9.46667	0.198757
9.53333	0.152697
9.6	0.164908
9.66667	0.119024
9.73333	0.158129
9.8	0.180008
9.86667	0.201117
9.93333	0.163721
10	0.111739
10.0667	0.146443
10.1333	0.123263
10.2	0.137665
10.2667	0.155312
10.3333	0.134496
10.4	0.0767969
10.4667	0.125877
10.5333	0.0649343
10.6	0.109835
10.6667	0.102751
10.7333	0.102868
10.8	0.110647
10.8667	0.191451
10.9333	0.0854939
11	0.116732
11.0667	0.0754799
11.1333	0.108904
11.2	0.13459
11.2667	0.123011
11.3333	0.10126
11.4	0.0985633
11.4667	0.138603
11.5333	0.0797825
11.6	0.119691
11.6667	0.0803249
11.7333	0.163854
11.8	0.0876356
11.8667	0.0502881
11.9333	0.0678455
12	0.0511505
12.0667	0.104437
12.1333	0.116309
12.2	0.0953339
12.2667	0.0885307
12.3333	0.0762975
12.4	0.0550524
12.4667	0.0783253
12.5333	0.0700539
12.6	0.053544
12.6667	0.0581193
12.7333	0.0393023
12.8	0.0705964
12.8667	0.0585007
12.9333	0.0938339
13	0.0500317
13.0667	0.141907
13.1333	0.0880397
13.2	0.0902996
13.2667	0.0529987
13.3333	0.0388309
13.4	0.0927463
13.4667	0.0966122
13.5333	0.0810794
13.6	0.0619343
13.6667	0.109027
13.7333	0.059238
13.8	0.0492207
13.8667	0.0592764
13.9333	0.0763519
14	0.0582569
14.0667	0.0741257
14.1333	0.0587591
