time_sec	Dynamic_density
0.0666667	0.0919023
0.133333	0.101123
0.2	0.10128
0.266667	0.0921884
0.333333	0.0868902
0.4	0.103333
0.466667	0.126591
0.533333	0.112582
0.6	0.151581
0.666667	0.167514
0.733333	0.0873213
0.8	0.147149
0.866667	0.105108
0.933333	0.113467
1	0.147282
1.06667	0.0937559
1.13333	0.0972122
1.2	0.117445
1.26667	0.16878
1.33333	0.0822269
1.4	0.10764
1.46667	0.0798404
1.53333	0.09028
1.6	0.0750047
1.66667	0.0865023
1.73333	0.0965186
1.8	0.0637853
1.86667	0.104188
1.93333	0.0953822
2	0.0931328
2.06667	0.0805027
2.13333	0.100163
2.2	0.100143
2.26667	0.0735587
2.33333	0.10434
2.4	0.110618
2.46667	0.0933875
2.53333	0.101644
2.6	0.09568
2.66667	0.0991441
2.73333	0.115399
2.8	0.0893865
2.86667	0.110877
2.93333	0.199146
3	0.117472
3.06667	0.0904406
3.13333	0.114533
3.2	0.109415
3.26667	0.112292
3.33333	0.0709684
3.4	0.0921022
3.46667	0.0850798
3.53333	0.0958602
3.6	0.100908
3.66667	0.115814
3.73333	0.0939009
3.8	0.0994067
3.86667	0.101374
3.93333	0.102781
4	0.107374
4.06667	0.0851895
4.13333	0.0660425
4.2	0.100073
4.26667	0.0734881
4.33333	0.0763645
4.4	0.0669164
4.46667	0.0910794
4.53333	0.0676179
4.6	0.166801
4.66667	0.128264
4.73333	0.0826776
4.8	0.11663
4.86667	0.07716
4.93333	0.0990658
5	0.0990227
5.06667	0.068868
5.13333	0.0838924
5.2	0.165308
5.26667	0.112589
5.33333	0.113444
5.4	0.0854403
5.46667	0.113193
5.53333	0.0798875
5.6	0.128307
5.66667	0.0913498
5.73333	0.0988894
5.8	0.0922276
5.86667	0.110544
5.93333	0.107381
6	0.111798
6.06667	0.118875
6.13333	0.0941752
6.2	0.113032
6.26667	0.219806
6.33333	0.113005
6.4	0.13801
6.46667	0.128253
6.53333	0.108232
6.6	0.11882
6.66667	0.120004
6.73333	0.113267
6.8	0.121289
6.86667	0.121516
6.93333	0.122049
7	0.0785002
7.06667	0.109231
7.13333	0.109427
7.2	0.0880032
7.26667	0.0930035
7.33333	0.0877876
7.4	0.0904132
7.46667	0.0996771
7.53333	0.102683
7.6	0.101727
7.66667	0.103302
7.73333	0.102553
7.8	0.110183
7.86667	0.101335
7.93333	0.235411
8	0.124886
8.06667	0.113165
8.13333	0.116579
8.2	0.123276
8.26667	0.10956
8.33333	0.129338
8.4	0.128061
8.46667	0.116994
8.53333	0.123213
8.6	0.109113
8.66667	0.111496
8.73333	0.151193
8.8	0.10648
8.86667	0.117786
8.93333	0.14535
9	0.135831
9.06667	0.122206
9.13333	0.134691
9.2	0.1194
9.26667	0.130263
9.33333	0.149112
9.4	0.146823
9.46667	0.149578
9.53333	0.16608
9.6	0.219199
9.66667	0.164932
9.73333	0.151017
9.8	0.117527
9.86667	0.121571
9.93333	0.132473
10	0.106637
10.0667	0.134926
10.1333	0.126325
10.2	0.116661
10.2667	0.119518
10.3333	0.148375
10.4	0.137156
10.4667	0.14691
10.5333	0.148693
10.6	0.13359
10.6667	0.129115
10.7333	0.13881
10.8	0.122449
10.8667	0.115474
10.9333	0.171386
11	0.1549
11.0667	0.119055
11.1333	0.124542
11.2	0.118577
11.2667	0.234701
11.3333	0.152525
11.4	0.144241
11.4667	0.148736
11.5333	0.0966283
11.6	0.124612
11.6667	0.152521
11.7333	0.145029
11.8	0.130729
11.8667	0.128605
11.9333	0.131137
12	0.133504
12.0667	0.126407
12.1333	0.129996
12.2	0.131023
12.2667	0.124808
12.3333	0.101848
12.4	0.137493
12.4667	0.125937
12.5333	0.0809769
12.6	0.0818037
12.6667	0.113044
12.7333	0.0871019
12.8	0.101444
12.8667	0.0626881
12.9333	0.209551
13	0.11795
13.0667	0.0851033
13.1333	0.109881
13.2	0.0941517
13.2667	0.0801226
13.3333	0.0839943
13.4	0.0834966
13.4667	0.0748166
13.5333	0.0794838
13.6	0.0869529
13.6667	0.0977922
13.7333	0.0820663
13.8	0.0970672
13.8667	0.0791076
13.9333	0.0727044
14	0.0653528
14.0667	0.0749577
14.1333	0.0887752
14.2	0.0788764
14.2667	0.0845508
14.3333	0.073594
14.4	0.0954605
14.4667	0.0628684
14.5333	0.0780809
14.6	0.206259
14.6667	0.136725
14.7333	0.12047
14.8	0.103866
14.8667	0.0968948
14.9333	0.108635
15	0.0711565
15.0667	0.0884891
15.1333	0.102749
15.2	0.0776185
15.2667	0.0845351
15.3333	0.0971848
15.4	0.097271
15.4667	0.0719246
15.5333	0.0818194
15.6	0.0795191
15.6667	0.049913
15.7333	0.0638167
15.8	0.072677
15.8667	0.0526052
15.9333	0.0615086
16	0.0544196
16.0667	0.0565004
16.1333	0.054059
16.2	0.0337991
16.2667	0.183511
