time_sec	dynamic_density
0.0666667	0.0699613
0.4	0.103224
0.733333	0.0506105
1.06667	0.08343
1.4	0.0785982
1.73333	0.0805732
2.06667	0.0922119
2.4	0.0852836
2.73333	0.110301
3.06667	0.130764
3.4	0.105022
3.73333	0.0845939
4.06667	0.0875721
4.4	0.0365932
4.73333	0.0222349
5.06667	0.0280386
5.4	0.0466879
5.73333	0.0878268
6.06667	0.0886929
6.4	0.100817
6.73333	0.100206
7.06667	0.112068
7.4	0.102267
7.73333	0.105916
8.06667	0.136357
8.4	0.14218
8.73333	0.152129
9.06667	0.143775
9.4	0.156781
9.73333	0.138841
10.0667	0.148704
10.4	0.138245
10.7333	0.137368
11.0667	0.13013
11.4	0.135099
11.7333	0.0966636
12.0667	0.12328
12.4	0.09452
12.7333	0.0803655
13.0667	0.0869255
13.4	0.0309345
13.7333	0.0234929
14.0667	0.0356331
14.4	0.0215178
14.7333	0.0885871
15.0667	0.0345202
15.4	0.027004
15.7333	0.0351629
16.0667	0.0301116
16.4	0.0261576
16.7333	0.0185356
17.0667	0.0137626
17.4	0.0194683
17.7333	0.0215962
18.0667	0.0761255
18.4	0.00989482
18.7333	0.0215335
19.0667	0.0305858
19.4	0.0283207
19.7333	0.0361347
20.0667	0.0396302
20.4	0.0261537
20.7333	0.0372516
21.0667	0.030429
21.4	0.121246
21.7333	0.0747421
22.0667	0.0526679
22.4	0.0189902
22.7333	0.0205264
23.0667	0.0250839
23.4	0.0316242
23.7333	0.032357
24.0667	0.0239827
24.4	0.0212748
24.7333	0.0261262
25.0667	0.0179086
25.4	0.021557
25.7333	0.0249467
26.0667	0.0552307
26.4	0.0655174
26.7333	0.0562692
27.0667	0.0672456
27.4	0.0710507
27.7333	0.0899351
28.0667	0.132297
28.4	0.139527
28.7333	0.154986
29.0667	0.198833
29.4	0.229411
29.7333	0.246454
30.0667	0.250482
30.4	0.251293
30.7333	0.250451
31.0667	0.247574
31.4	0.273571
31.7333	0.250995
32.0667	0.254369
32.4	0.235634
32.7333	0.24286
33.0667	0.29476
33.4	0.0207105
33.7333	0.0417463
34.0667	0.0716934
34.4	0.072869
34.7333	0.0893316
35.0667	0.0906875
35.4	0.0765565
35.7333	0.0781515
36.0667	0.0813766
36.4	0.106997
36.7333	0.102585
37.0667	0.100308
37.4	0.11429
37.7333	0.287604
38.0667	0.0976315
38.4	0.0415504
38.7333	0.0475147
39.0667	0.0610971
39.4	0.0579856
39.7333	0.074652
40.0667	0.0813452
40.4	0.0834143
40.7333	0.0973141
41.0667	0.100841
41.4	0.105951
41.7333	0.120301
42.0667	0.11277
42.4	0.113295
42.7333	0.119459
43.0667	0.0673122
43.4	0.0607953
43.7333	0.0693656
44.0667	0.0748401
44.4	0.0952999
44.7333	0.122966
45.0667	0.0872782
45.4	0.105716
45.7333	0.109062
46.0667	0.112127
46.4	0.202952
46.7333	0.125439
47.0667	0.0983251
47.4	0.136549
47.7333	0.0633386
48.0667	0.119718
48.4	0.157255
48.7333	0.135173
49.0667	0.094473
49.4	0.0179478
49.7333	0.148579
50.0667	0.0207732
50.4	0.00429494
50.7333	0.0427809
51.0667	0.0165214
51.4	0.0224505
51.7333	0.0344771
52.0667	0.0133668
52.4	0.0257109
52.7333	0.015624
53.0667	0.0251622
53.4	0.0346221
53.7333	0.0370791
54.0667	0.0453242
54.4	0.0640087
54.7333	0.106245
55.0667	0.0285088
55.4	0.0371457
55.7333	0.0395754
56.0667	0.0280464
56.4	0.0918788
56.7333	0.027149
57.0667	0.0348259
57.4	0.0238377
57.7333	0.0448617
58.0667	0.0803891
58.4	0.0636129
58.7333	0.0584833
59.0667	0.0562692
59.4	0.0185317
59.7333	0.0222506
60.0667	0.0230931
60.4	0.181967
60.7333	0.0187081
61.0667	0.0149774
61.4	0.00925998
61.7333	0.00837043
62.0667	0.112127
62.4	0.0226895
62.7333	0.0230461
63.0667	0.0219214
63.4	0.0262085
63.7333	0.07475
64.0667	0.0348846
64.4	0.0501795
64.7333	0.0334974
