frame_no,queue_density,dynamic_density
1,0.0727734,0.110716
6,0.0867049,0.080705
11,0.0931546,0.0685675
16,0.0985001,0.0798142
21,0.106874,0.0856462
26,0.113646,0.0805071
31,0.116881,0.0905445
36,0.119777,0.108477
41,0.122858,0.13328
46,0.12552,0.109882
51,0.133892,0.0897751
56,0.13714,0.0707345
61,0.131455,0.0588368
66,0.126234,0.0232759
71,0.13075,0.0314059
76,0.140629,0.0445758
81,0.162975,0.0825742
86,0.186432,0.0833454
91,0.195044,0.0979092
96,0.198626,0.105677
101,0.19223,0.107559
106,0.197006,0.0875038
111,0.206703,0.0979538
116,0.20656,0.131466
121,0.208985,0.136189
126,0.212756,0.153936
131,0.219929,0.150305
136,0.229678,0.159106
141,0.230386,0.176813
146,0.226632,0.129681
151,0.222375,0.142161
156,0.217096,0.141432
161,0.213622,0.135876
166,0.211892,0.1456
171,0.210595,0.122363
176,0.209721,0.122961
181,0.208584,0.104351
186,0.207447,0.0844475
191,0.208596,0.0740654
196,0.209049,0.0371659
201,0.208909,0.0248345
206,0.208791,0.0284807
211,0.20835,0.0320074
216,0.20859,0.0812964
221,0.207829,0.0372472
226,0.207492,0.0303728
231,0.208358,0.0343693
236,0.206335,0.0324618
241,0.207175,0.0298374
246,0.206615,0.0255645
251,0.206029,0.0136367
256,0.206175,0.0156988
261,0.206193,0.0211253
266,0.204817,0.0718833
271,0.207289,0.02287
276,0.213464,0.0199429
281,0.220257,0.0261253
286,0.218186,0.0309492
291,0.214374,0.0246969
296,0.209731,0.0432128
301,0.207439,0.0328646
306,0.208153,0.0394409
311,0.207381,0.033303
316,0.206195,0.119133
321,0.206659,0.0836278
326,0.206204,0.0619408
331,0.206298,0.0336965
336,0.208668,0.021961
341,0.213875,0.0229572
346,0.213937,0.0293746
351,0.213054,0.0312379
356,0.213753,0.024667
361,0.213276,0.0221501
366,0.211482,0.0271579
371,0.210864,0.0181363
376,0.210608,0.019664
381,0.215138,0.0192452
386,0.219516,0.0521806
391,0.223357,0.069052
396,0.224727,0.0593061
401,0.233504,0.0673449
406,0.247941,0.0675558
411,0.267443,0.0973389
416,0.280483,0.153014
421,0.298733,0.133939
426,0.315627,0.164191
431,0.329907,0.209628
436,0.334959,0.230857
441,0.342287,0.246135
446,0.3508,0.249425
451,0.35737,0.253274
456,0.36244,0.251138
461,0.364078,0.247254
466,0.367637,0.277952
471,0.367484,0.255762
476,0.366798,0.255828
481,0.367422,0.250818
486,0.367364,0.240533
491,0.368425,0.274636
496,0.376875,0.0494602
501,0.397292,0.045217
506,0.409863,0.0660994
511,0.417703,0.0751859
516,0.43932,0.091986
521,0.449625,0.0727511
526,0.456184,0.0716068
531,0.459616,0.0790963
536,0.462136,0.0816946
541,0.461115,0.0992209
546,0.457208,0.0986908
551,0.455665,0.102641
556,0.454235,0.102782
561,0.451444,0.256887
566,0.454364,0.125963
571,0.46067,0.0242094
576,0.470996,0.0515306
581,0.480762,0.0630784
586,0.491013,0.0675419
591,0.517168,0.0600813
596,0.534538,0.0768387
601,0.545074,0.0792832
606,0.56466,0.0920918
611,0.574164,0.095765
616,0.58441,0.12359
621,0.586208,0.097134
626,0.589909,0.122074
631,0.592135,0.114616
636,0.592297,0.0980149
641,0.597241,0.129294
646,0.600663,0.0473843
651,0.603871,0.0685265
656,0.607217,0.0877196
661,0.611369,0.0881916
666,0.614323,0.0713401
671,0.614009,0.111271
676,0.615411,0.111923
681,0.615851,0.105147
686,0.615981,0.117614
691,0.618686,0.168426
696,0.618083,0.137933
701,0.619344,0.0996149
706,0.62126,0.143047
711,0.623576,0.0857434
716,0.635935,0.148454
721,0.636089,0.159935
726,0.636388,0.112838
731,0.639132,0.141449
736,0.643531,0.0168773
741,0.657931,0.169506
746,0.66583,0.0170794
751,0.66927,0.0155633
756,0.677968,0.011097
761,0.684888,0.0143718
766,0.706691,0.0471922
771,0.707976,0.033256
776,0.705097,0.0140594
781,0.699533,0.0126907
786,0.698227,0.0164159
791,0.687798,0.0256515
796,0.682637,0.0323357
801,0.679994,0.0339926
806,0.681845,0.0551474
811,0.720958,0.0666691
816,0.785499,0.116936
821,0.81854,0.0242202
826,0.829255,0.0343777
831,0.832381,0.0341297
836,0.834418,0.0297495
841,0.838932,0.0944433
846,0.839304,0.0277752
851,0.839234,0.0426631
856,0.839865,0.0263127
861,0.841731,0.0486607
866,0.840806,0.0770307
871,0.841598,0.0473875
876,0.841225,0.0596908
881,0.841585,0.0555793
886,0.84083,0.0218617
891,0.841502,0.0359827
896,0.842341,0.0249601
901,0.838148,0.125646
906,0.838459,0.0209973
911,0.840334,0.0115732
916,0.841466,0.0218068
921,0.843141,0.0128815
926,0.83934,0.11542
931,0.840627,0.0183069
936,0.84157,0.0206207
941,0.839903,0.0229322
946,0.841103,0.0313071
951,0.842609,0.0428157
956,0.842484,0.0590586
961,0.842695,0.0474416
966,0.84088,0.0368781
971,0.841321,0.0298884
976,0.835108,0.110434
981,0.833987,0.0491703
986,0.836895,0.033685
991,0.837702,0.020838
996,0.839387,0.0338186
1001,0.838822,0.067896
1006,0.8395,0.0442238
1011,0.839638,0.0388685
1016,0.840484,0.0367086
1021,0.840139,0.0347002
1026,0.840674,0.0299366
1031,0.840674,0.0639419
1036,0.84066,0.0533314
1041,0.840511,0.0400157
1046,0.841118,0.0384025
1051,0.841442,0.0367753
1056,0.832705,0.0659175
1061,0.831736,0.0326569
1066,0.832855,0.0330113
1071,0.834895,0.0302049
1076,0.836785,0.0339049
1081,0.836385,0.0936277
1086,0.837102,0.0345526
1091,0.836712,0.0265625
1096,0.83798,0.0345105
1101,0.837786,0.0330153
1106,0.83692,0.101664
1111,0.836107,0.0552444
1116,0.835152,0.0396508
1121,0.832616,0.0390351
1126,0.833246,0.0432049
1131,0.835416,0.0539536
1136,0.835349,0.0552726
1141,0.833455,0.0357448
1146,0.833409,0.0379593
1151,0.828975,0.032379
1156,0.806643,0.0748639
1161,0.813888,0.0455678
1166,0.828074,0.0483339
1171,0.832006,0.046263
1176,0.832791,0.0412635
1181,0.835767,0.0682032
1186,0.837336,0.0373761
1191,0.83876,0.0295229
1196,0.838178,0.0243608
1201,0.839805,0.0316484
1206,0.841065,0.0765679
1211,0.839745,0.0217214
1216,0.836551,0.0807747
1221,0.835837,0.0645228
1226,0.837459,0.034579
1231,0.840318,0.0537106
1236,0.838129,0.0401461
1241,0.839289,0.0353942
1246,0.83765,0.0386319
1251,0.835976,0.0348571
1256,0.823847,0.0654316
1261,0.826208,0.0301072
1266,0.825111,0.0276615
1271,0.827439,0.0281036
1276,0.82952,0.0382008
1281,0.831139,0.0591559
1286,0.827643,0.0370231
1291,0.825061,0.0474916
1296,0.827277,0.0377891
1301,0.826865,0.0376382
1306,0.822916,0.0304483
1311,0.82184,0.0339909
1316,0.819598,0.0383664
1321,0.82008,0.0307479
1326,0.822054,0.0206818
1331,0.810313,0.143948
1336,0.808123,0.0708117
1341,0.809102,0.0432986
1346,0.812469,0.040822
1351,0.814419,0.0439722
1356,0.818971,0.0641117
1361,0.81782,0.0495491
1366,0.819645,0.0505524
1371,0.815839,0.0511016
1376,0.814172,0.0484189
1381,0.811678,0.0671684
1386,0.811985,0.0494551
1391,0.818751,0.0380203
1396,0.82073,0.0357671
1401,0.825274,0.0342136
1406,0.833788,0.0486418
1411,0.83233,0.0618911
1416,0.832277,0.013288
1421,0.832655,0.0834224
1426,0.833255,0.193759
1431,0.835915,0.210643
1436,0.835639,0.275606
1441,0.834208,0.315155
1446,0.835337,0.364064
1451,0.832967,0.373937
1456,0.839527,0.393271
1461,0.842823,0.38701
1466,0.844099,0.466359
1471,0.845713,0.332144
1476,0.844102,0.235003
1481,0.849816,0.385913
1486,0.849839,0.278668
1491,0.849663,0.417266
1496,0.853506,0.559313
1501,0.853715,0.453172
1506,0.860941,0.649141
1511,0.855842,0.55156
1516,0.850435,0.610641
1521,0.838809,0.625565
1526,0.840109,0.675429
1531,0.834836,0.659821
1536,0.829648,0.656708
1541,0.828957,0.715854
1546,0.80582,0.471663
1551,0.790131,0.678579
1556,0.785579,0.671539
1561,0.796019,0.632937
1566,0.800677,0.652161
1571,0.806109,0.639034
1576,0.81273,0.682207
1581,0.815555,0.551945
1586,0.800272,0.67058
1591,0.801716,0.666388
1596,0.806618,0.658207
1601,0.802888,0.652701
1606,0.798614,0.740426
1611,0.796665,0.70793
1616,0.785063,0.622876
1621,0.781874,0.699975
1626,0.796989,0.603587
1631,0.806636,0.632822
1636,0.812625,0.561078
1641,0.809417,0.618002
1646,0.803096,0.608652
1651,0.806186,0.653059
1656,0.805142,0.639566
1661,0.812239,0.599
1666,0.828738,0.634523
1671,0.829227,0.643007
1676,0.814447,0.626372
1681,0.77188,0.586696
1686,0.764133,0.52826
1691,0.77311,0.378523
1696,0.779265,0.610439
1701,0.774523,0.561879
1706,0.751668,0.595151
1711,0.740127,0.489663
1716,0.735066,0.557354
1721,0.719632,0.521664
1726,0.680603,0.600066
1731,0.578142,0.597333
1736,0.533562,0.576229
1741,0.505805,0.604706
1746,0.463809,0.597469
1751,0.444867,0.565
1756,0.430707,0.54828
1761,0.423759,0.547681
1766,0.430492,0.595181
1771,0.445282,0.567904
1776,0.434827,0.560563
1781,0.419424,0.408471
1786,0.394232,0.311835
1791,0.377455,0.438391
1796,0.36513,0.512309
1801,0.366828,0.566262
1806,0.357551,0.559338
1811,0.351937,0.564397
1816,0.347691,0.551132
1821,0.340374,0.532092
1826,0.323116,0.500365
1831,0.289347,0.474728
1836,0.274464,0.481468
1841,0.249283,0.426528
1846,0.22761,0.374688
1851,0.20606,0.341457
1856,0.189065,0.267412
1861,0.17096,0.291456
1866,0.171139,0.263273
1871,0.190846,0.318518
1876,0.223875,0.389057
1881,0.258538,0.372487
1886,0.287698,0.389662
1891,0.309376,0.491932
1896,0.328595,0.519949
1901,0.378614,0.542467
1906,0.398073,0.489262
1911,0.391034,0.501249
1916,0.373247,0.45656
1921,0.350177,0.447058
1926,0.334811,0.410836
1931,0.29174,0.316075
1936,0.283981,0.276737
1941,0.272798,0.276255
1946,0.226309,0.275405
1951,0.185055,0.201142
1956,0.138602,0.169891
1961,0.0966906,0.128957
1966,0.0612441,0.0720988
1971,0.0311629,0.0485128
1976,0.0144771,0.0316962
1981,0.0128917,0.0484363
1986,0.0123537,0.0209818
1991,0.0114046,0.0247632
1996,0.0207698,0.035754
2001,0.0722431,0.0747649
2006,0.140889,0.135826
2011,0.205258,0.17203
2016,0.245863,0.237546
2021,0.286078,0.336079
2026,0.330498,0.328437
2031,0.336814,0.323073
2036,0.296898,0.273897
2041,0.258868,0.297181
2046,0.234314,0.295709
2051,0.196378,0.25751
2056,0.149332,0.214867
2061,0.105189,0.177693
2066,0.0795996,0.105634
2071,0.056443,0.117596
2076,0.0318485,0.0361484
2081,0.0181526,0.0421435
2086,0.0170195,0.0350231
2091,0.0184609,0.0358391
2096,0.0336029,0.0532061
2101,0.063348,0.0696617
2106,0.103331,0.0998959
2111,0.152312,0.0945679
2116,0.200119,0.14827
2121,0.254175,0.165701
2126,0.315687,0.202082
2131,0.335717,0.225506
