time_sec	queue_density
0.0666667	0.0712349
0.133333	0.0686407
0.2	0.0684682
0.266667	0.0692677
0.333333	0.0709214
0.4	0.0724889
0.466667	0.0753809
0.533333	0.0800168
0.6	0.0808319
0.666667	0.0832066
0.733333	0.0860712
0.8	0.0868471
0.866667	0.0884813
0.933333	0.0904916
1	0.0907816
1.06667	0.0925176
1.13333	0.0941595
1.2	0.0947238
1.26667	0.0959896
1.33333	0.0967145
1.4	0.0978706
1.46667	0.0990736
1.53333	0.100477
1.6	0.101378
1.66667	0.103772
1.73333	0.106245
1.8	0.107283
1.86667	0.109662
1.93333	0.111872
2	0.111715
2.06667	0.113016
2.13333	0.114208
2.2	0.1146
2.26667	0.115152
2.33333	0.115579
2.4	0.116246
2.46667	0.116187
2.53333	0.11697
2.6	0.117672
2.66667	0.118123
2.73333	0.119145
2.8	0.119416
2.86667	0.120023
2.93333	0.120834
3	0.122339
3.06667	0.122226
3.13333	0.122892
3.2	0.122672
3.26667	0.123429
3.33333	0.123672
3.4	0.124886
3.46667	0.126701
3.53333	0.12913
3.6	0.130224
3.66667	0.132308
3.73333	0.133257
3.8	0.134421
3.86667	0.135765
3.93333	0.13687
4	0.137289
4.06667	0.136513
4.13333	0.135428
4.2	0.134362
4.26667	0.13299
4.33333	0.131266
4.4	0.130827
4.46667	0.129507
4.53333	0.127602
4.6	0.127053
4.66667	0.12569
4.73333	0.125611
4.8	0.126497
4.86667	0.127508
4.93333	0.128562
5	0.129052
5.06667	0.130141
5.13333	0.131368
5.2	0.132602
5.26667	0.135271
5.33333	0.138433
5.4	0.140017
5.46667	0.142062
5.53333	0.146698
5.6	0.14952
5.66667	0.156193
5.73333	0.162389
5.8	0.165602
5.86667	0.171802
5.93333	0.177041
6	0.179619
6.06667	0.185819
6.13333	0.188946
6.2	0.189683
6.26667	0.190815
6.33333	0.193065
6.4	0.19442
6.46667	0.196756
6.53333	0.197838
6.6	0.197951
6.66667	0.197179
6.73333	0.19799
6.8	0.197559
6.86667	0.196744
6.93333	0.194883
7	0.194005
7.06667	0.191591
7.13333	0.193272
7.2	0.192806
7.26667	0.193041
7.33333	0.194989
7.4	0.196368
7.46667	0.198112
7.53333	0.199644
7.6	0.200589
7.66667	0.203461
7.73333	0.206063
7.8	0.206353
7.86667	0.206902
7.93333	0.207047
8	0.205389
8.06667	0.205926
8.13333	0.206173
8.2	0.206
8.26667	0.207156
8.33333	0.207881
8.4	0.208352
8.46667	0.208438
8.53333	0.209566
8.6	0.210252
8.66667	0.211067
8.73333	0.212121
8.8	0.212427
8.86667	0.214261
8.93333	0.215672
9	0.216546
9.06667	0.219293
9.13333	0.221997
9.2	0.223607
9.26667	0.225782
9.33333	0.228369
9.4	0.229043
9.46667	0.229266
9.53333	0.229775
9.6	0.229795
9.66667	0.230967
9.73333	0.229752
9.8	0.22992
9.86667	0.228506
9.93333	0.227314
10	0.226809
10.0667	0.225998
10.1333	0.224763
10.2	0.22416
10.2667	0.223494
10.3333	0.222157
10.4	0.221738
10.4667	0.219849
10.5333	0.218117
10.6	0.217345
10.6667	0.216742
10.7333	0.216459
10.8	0.215605
10.8667	0.2145
10.9333	0.213524
11	0.213062
11.0667	0.212987
11.1333	0.212427
11.2	0.212341
11.2667	0.211373
11.3333	0.211839
11.4	0.211259
11.4667	0.21044
11.5333	0.210009
11.6	0.209766
11.6667	0.209731
11.7333	0.209974
11.8	0.209288
11.8667	0.209002
11.9333	0.208971
12	0.209018
12.0667	0.209128
12.1333	0.208947
12.2	0.208845
12.2667	0.208818
12.3333	0.208199
12.4	0.207991
12.4667	0.206968
12.5333	0.206478
12.6	0.206765
12.6667	0.206878
12.7333	0.206851
12.8	0.206718
12.8667	0.20629
12.9333	0.206141
13	0.207717
13.0667	0.207979
13.1333	0.208234
13.2	0.208387
13.2667	0.208336
13.3333	0.208395
13.4	0.208414
13.4667	0.208301
13.5333	0.20841
13.6	0.208591
13.6667	0.208712
13.7333	0.208273
13.8	0.207936
13.8667	0.20783
13.9333	0.207689
14	0.207756
14.0667	0.208156
14.1333	0.208152
14.2	0.208226
14.2667	0.207901
14.3333	0.207752
14.4	0.207713
14.4667	0.207458
14.5333	0.207423
14.6	0.207529
14.6667	0.207885
14.7333	0.207952
14.8	0.207599
14.8667	0.207564
14.9333	0.207317
15	0.207227
15.0667	0.207192
15.1333	0.207239
15.2	0.207125
15.2667	0.206757
15.3333	0.206808
15.4	0.206859
15.4667	0.206976
15.5333	0.207192
15.6	0.207301
15.6667	0.207729
15.7333	0.207725
15.8	0.207611
15.8667	0.207152
15.9333	0.206314
16	0.205475
16.0667	0.205706
16.1333	0.206866
16.2	0.206823
16.2667	0.207489
16.3333	0.206392
16.4	0.206541
16.4667	0.206682
16.5333	0.206702
16.6	0.206431
16.6667	0.205973
16.7333	0.205981
16.8	0.20584
16.8667	0.205326
16.9333	0.205115
17	0.205123
17.0667	0.205393
17.1333	0.205409
17.2	0.205428
17.2667	0.205726
17.3333	0.205475
17.4	0.205538
17.4667	0.205079
17.5333	0.205593
17.6	0.205479
17.6667	0.20562
17.7333	0.205558
17.8	0.205475
17.8667	0.205232
17.9333	0.205287
18	0.204249
18.0667	0.204186
18.1333	0.203888
18.2	0.20381
18.2667	0.2041
18.3333	0.205691
18.4	0.206659
18.4667	0.207791
18.5333	0.209018
18.6	0.209233
18.6667	0.21066
18.7333	0.212835
18.8	0.213834
18.8667	0.215868
18.9333	0.218329
19	0.21867
19.0667	0.219642
19.1333	0.219257
19.2	0.219011
19.2667	0.218815
19.3333	0.21787
19.4	0.217592
19.4667	0.216808
19.5333	0.215621
19.6	0.215147
19.6667	0.215198
19.7333	0.213779
19.8	0.212995
19.8667	0.211514
19.9333	0.210166
20	0.20988
20.0667	0.209135
20.1333	0.208504
20.2	0.207764
20.2667	0.207584
20.3333	0.20736
20.4	0.206827
20.4667	0.20689
20.5333	0.207317
20.6	0.20669
20.6667	0.20649
20.7333	0.207544
20.8	0.206737
20.8667	0.206051
20.9333	0.206808
21	0.207105
21.0667	0.206776
21.1333	0.20591
21.2	0.205742
21.2667	0.205017
21.3333	0.205499
21.4	0.205569
21.4667	0.205315
21.5333	0.205275
21.6	0.205326
21.6667	0.205871
21.7333	0.20602
21.8	0.205942
21.8667	0.205914
21.9333	0.206004
22	0.205765
22.0667	0.205565
22.1333	0.205424
22.2	0.205444
22.2667	0.205855
22.3333	0.205632
22.4	0.205659
22.4667	0.205652
22.5333	0.205636
22.6	0.205961
22.6667	0.206533
22.7333	0.20803
22.8	0.208806
22.8667	0.209864
22.9333	0.211091
23	0.212243
23.0667	0.213234
23.1333	0.213665
23.2	0.214112
23.2667	0.21381
23.3333	0.213571
23.4	0.213297
23.4667	0.213027
23.5333	0.212987
23.6	0.212529
23.6667	0.212392
23.7333	0.212411
23.8	0.212435
23.8667	0.212686
23.9333	0.212611
24	0.212717
24.0667	0.213117
24.1333	0.212925
24.2	0.213019
24.2667	0.212995
24.3333	0.212846
24.4	0.212639
24.4667	0.212674
24.5333	0.212133
24.6	0.211992
24.6667	0.211052
24.7333	0.210848
24.8	0.210973
24.8667	0.210852
24.9333	0.210687
25	0.210613
25.0667	0.210225
25.1333	0.209892
25.2	0.209809
25.2667	0.209625
25.3333	0.209731
25.4	0.20997
25.4667	0.210911
25.5333	0.211851
25.6	0.212713
25.6667	0.213685
25.7333	0.214504
25.8	0.214966
25.8667	0.216119
25.9333	0.217913
26	0.218262
26.0667	0.219073
26.1333	0.220163
26.2	0.220363
26.2667	0.220445
26.3333	0.222561
26.4	0.222722
26.4667	0.222894
26.5333	0.223223
26.6	0.223588
26.6667	0.223325
26.7333	0.224089
26.8	0.224563
26.8667	0.225892
26.9333	0.228412
27	0.229384
27.0667	0.232863
27.1333	0.2365
27.2	0.238028
27.2667	0.241802
27.3333	0.245172
27.4	0.247292
27.4667	0.251297
27.5333	0.255933
27.6	0.257743
27.6667	0.262109
27.7333	0.266788
27.8	0.268516
27.8667	0.272188
27.9333	0.275284
28	0.277521
28.0667	0.279833
28.1333	0.283975
28.2	0.285766
28.2667	0.29097
28.3333	0.296288
28.4	0.298083
28.4667	0.30208
28.5333	0.305744
28.6	0.307578
28.6667	0.311144
28.7333	0.314984
28.8	0.316238
28.8667	0.320185
28.9333	0.324531
29	0.326698
29.0667	0.329268
29.1333	0.331435
29.2	0.331627
29.2667	0.332521
29.3333	0.334355
29.4	0.33432
29.4667	0.335158
29.5333	0.335801
29.6	0.336299
29.6667	0.340217
29.7333	0.341648
29.8	0.342302
29.8667	0.344171
29.9333	0.346307
30	0.347044
30.0667	0.350167
30.1333	0.351817
30.2	0.352706
30.2667	0.354384
30.3333	0.355951
30.4	0.356735
30.4667	0.358306
30.5333	0.359337
30.6	0.359619
30.6667	0.36032
30.7333	0.361806
30.8	0.361998
30.8667	0.36246
30.9333	0.36306
31	0.363252
31.0667	0.363628
31.1333	0.363585
31.2	0.363573
31.2667	0.364094
31.3333	0.367119
31.4	0.367021
31.4667	0.367449
31.5333	0.367507
31.6	0.367527
31.6667	0.367578
31.7333	0.366861
31.8	0.366285
31.8667	0.366175
31.9333	0.365811
32	0.365842
32.0667	0.366159
32.1333	0.365905
32.2	0.36565
32.2667	0.366014
32.3333	0.366543
32.4	0.366778
32.4667	0.367037
32.5333	0.367053
32.6	0.366857
32.6667	0.366626
32.7333	0.36672
32.8	0.366626
32.8667	0.367076
32.9333	0.367213
33	0.366826
33.0667	0.367786
33.1333	0.368397
33.2	0.368424
33.2667	0.370783
33.3333	0.374679
33.4	0.376238
33.4667	0.380823
33.5333	0.384507
33.6	0.386831
33.6667	0.391388
33.7333	0.396655
33.8	0.399422
33.8667	0.403395
33.9333	0.406683
34	0.407961
34.0667	0.409222
34.1333	0.410806
34.2	0.411758
34.2667	0.414278
34.3333	0.415469
34.4	0.417056
34.4667	0.420512
34.5333	0.423592
34.6	0.425665
34.6667	0.436512
34.7333	0.438695
34.8	0.440592
34.8667	0.442567
34.9333	0.445545
35	0.447262
35.0667	0.449002
35.1333	0.45002
35.2	0.451604
35.2667	0.453273
35.3333	0.454464
35.4	0.455565
35.4667	0.455989
35.5333	0.456267
35.6	0.457247
35.6667	0.458383
35.7333	0.458998
35.8	0.459218
35.8667	0.459582
35.9333	0.461232
36	0.461663
36.0667	0.461518
36.1333	0.462682
36.2	0.463469
36.2667	0.462611
36.3333	0.460487
36.4	0.460507
36.4667	0.460338
36.5333	0.459582
36.6	0.458939
36.6667	0.457638
36.7333	0.456592
36.8	0.456439
36.8667	0.456573
36.9333	0.455174
37	0.455048
37.0667	0.455048
37.1333	0.454668
37.2	0.45439
37.2667	0.454151
37.3333	0.45419
37.4	0.453622
37.4667	0.45343
37.5333	0.453053
37.6	0.452066
37.6667	0.451071
37.7333	0.450832
37.8	0.450953
37.8667	0.450663
37.9333	0.451901
38	0.452599
38.0667	0.453755
38.1333	0.454409
38.2	0.454817
38.2667	0.456639
38.3333	0.458646
38.4	0.46006
38.4667	0.461718
38.5333	0.464128
38.6	0.465202
38.6667	0.467964
38.7333	0.470386
38.8	0.471366
38.8667	0.474344
38.9333	0.476448
39	0.477561
39.0667	0.480152
39.1333	0.482495
39.2	0.483706
39.2667	0.486026
39.3333	0.488777
39.4	0.490399
39.4667	0.492296
39.5333	0.498217
39.6	0.499604
39.6667	0.508852
39.7333	0.516565
39.8	0.520581
39.8667	0.524312
39.9333	0.528736
40	0.531326
40.0667	0.533936
40.1333	0.537447
40.2	0.538212
40.2667	0.540853
40.3333	0.543012
40.4	0.544474
40.4667	0.551151
40.5333	0.555246
40.6	0.557241
40.6667	0.561391
40.7333	0.564064
40.8	0.565561
40.8667	0.567536
40.9333	0.570443
41	0.571458
41.0667	0.57357
41.1333	0.57531
41.2	0.576204
41.2667	0.577293
41.3333	0.583606
41.4	0.58383
41.4667	0.584343
41.5333	0.584947
41.6	0.585037
41.6667	0.586208
41.7333	0.585624
41.8	0.586161
41.8667	0.586118
41.9333	0.587168
42	0.587897
42.0667	0.589328
42.1333	0.590464
42.2	0.590539
42.2667	0.590887
42.3333	0.591452
42.4	0.591557
42.4667	0.591722
42.5333	0.591789
42.6	0.591381
42.6667	0.591781
42.7333	0.5918
42.8	0.59113
42.8667	0.591593
42.9333	0.59213
43	0.596193
43.0667	0.596671
43.1333	0.597447
43.2	0.598043
43.2667	0.599168
43.3333	0.599673
43.4	0.600092
43.4667	0.600723
43.5333	0.601515
43.6	0.60233
43.6667	0.603514
43.7333	0.603298
43.8	0.603976
43.8667	0.604576
43.9333	0.605336
44	0.605571
44.0667	0.606645
44.1333	0.608079
44.2	0.608706
44.2667	0.609403
44.3333	0.610219
44.4	0.610795
44.4667	0.611085
44.5333	0.611723
44.6	0.612041
44.6667	0.613314
44.7333	0.613749
44.8	0.613961
44.8667	0.614028
44.9333	0.614071
45	0.613624
45.0667	0.613436
45.1333	0.613698
45.2	0.614031
45.2667	0.614004
45.3333	0.614282
45.4	0.614839
45.4667	0.614988
45.5333	0.614933
45.6	0.615521
45.6667	0.615505
45.7333	0.615278
45.8	0.615383
45.8667	0.615168
45.9333	0.615689
46	0.615419
46.0667	0.615407
46.1333	0.615615
46.2	0.615544
46.2667	0.61563
46.3333	0.618174
46.4	0.618119
46.4667	0.617989
46.5333	0.617903
46.6	0.617758
46.6667	0.617292
46.7333	0.617515
46.8	0.617758
46.8667	0.617966
46.9333	0.618138
47	0.618373
47.0667	0.618777
47.1333	0.619036
47.2	0.619612
47.2667	0.619906
47.3333	0.620188
47.4	0.620693
47.4667	0.621164
47.5333	0.621787
47.6	0.622198
47.6667	0.622378
47.7333	0.623009
47.8	0.623295
47.8667	0.623871
47.9333	0.62393
48	0.63573
48.0667	0.635377
48.1333	0.635792
48.2	0.635412
48.2667	0.635679
48.3333	0.635412
48.4	0.63553
48.4667	0.635369
48.5333	0.635671
48.6	0.635545
48.6667	0.635624
48.7333	0.635831
48.8	0.636494
48.8667	0.637556
48.9333	0.637963
49	0.638657
49.0667	0.638622
49.1333	0.639182
49.2	0.640663
49.2667	0.641192
49.3333	0.642227
49.4	0.643152
49.4667	0.644711
49.5333	0.645276
49.6	0.645193
49.6667	0.65566
49.7333	0.6576
49.8	0.659587
49.8667	0.662114
49.9333	0.663607
50	0.664521
50.0667	0.665763
50.1333	0.667369
50.2	0.668282
50.2667	0.668796
50.3333	0.668988
50.4	0.669227
50.4667	0.66938
50.5333	0.66947
50.6	0.670254
50.6667	0.672044
50.7333	0.678083
50.8	0.679373
50.8667	0.682194
50.9333	0.68337
51	0.684749
51.0667	0.685012
51.1333	0.68663
51.2	0.687602
51.2667	0.687402
51.3333	0.707776
51.4	0.706913
51.4667	0.706843
51.5333	0.706647
51.6	0.706478
51.6667	0.707337
51.7333	0.708128
51.8	0.708634
51.8667	0.708426
51.9333	0.706412
52	0.706694
52.0667	0.705197
52.1333	0.704488
52.2	0.703665
52.2667	0.704151
52.3333	0.703622
52.4	0.699672
52.4667	0.699523
52.5333	0.697748
52.6	0.697403
52.6667	0.697058
52.7333	0.698288
52.8	0.69823
52.8667	0.69542
52.9333	0.692367
53	0.688221
53.0667	0.687798
53.1333	0.686285
53.2	0.685529
53.2667	0.685858
53.3333	0.684761
53.4	0.682609
53.4667	0.681438
53.5333	0.681038
53.6	0.680082
53.6667	0.679921
53.7333	0.680039
53.8	0.679549
53.8667	0.679322
