time_sec	queue_density
0.0666667	0.0686479
0.133333	0.066558
0.2	0.0656725
0.266667	0.0672665
0.333333	0.0696398
0.4	0.0710921
0.466667	0.0740675
0.533333	0.0767596
0.6	0.0781411
0.666667	0.0817895
0.733333	0.0837377
0.8	0.0841628
0.866667	0.0862173
0.933333	0.0889802
1	0.0894407
1.06667	0.0917785
1.13333	0.0936913
1.2	0.0919557
1.26667	0.0940456
1.33333	0.0951436
1.4	0.0967376
1.46667	0.0977294
1.53333	0.0990046
1.6	0.099536
1.66667	0.101732
1.73333	0.105097
1.8	0.105487
1.86667	0.108356
1.93333	0.109525
2	0.110411
2.06667	0.111544
2.13333	0.11289
2.2	0.112642
2.26667	0.114378
2.33333	0.113315
2.4	0.114413
2.46667	0.114803
2.53333	0.115015
2.6	0.116964
2.66667	0.117034
2.73333	0.117495
2.8	0.11831
2.86667	0.118628
2.93333	0.118593
3	0.121073
3.06667	0.121852
3.13333	0.121533
3.2	0.119904
3.26667	0.121002
3.33333	0.123517
3.4	0.121427
3.46667	0.125323
3.53333	0.127378
3.6	0.128617
3.66667	0.131947
3.73333	0.133541
3.8	0.133329
3.86667	0.1351
3.93333	0.135206
4	0.13556
4.06667	0.135737
4.13333	0.134214
4.2	0.133222
4.26667	0.13262
4.33333	0.131416
4.4	0.131168
4.46667	0.128972
4.53333	0.126492
4.6	0.125996
4.66667	0.1238
4.73333	0.123942
4.8	0.124473
4.86667	0.125642
4.93333	0.126138
5	0.126705
5.06667	0.127555
5.13333	0.128795
5.2	0.130849
5.26667	0.132337
5.33333	0.135454
5.4	0.138359
5.46667	0.140023
5.53333	0.145266
5.6	0.146966
5.66667	0.153413
5.73333	0.160462
5.8	0.162729
5.86667	0.169707
5.93333	0.175056
6	0.177429
6.06667	0.184124
6.13333	0.18671
6.2	0.187312
6.26667	0.187206
6.33333	0.187701
6.4	0.190641
6.46667	0.192767
6.53333	0.193121
6.6	0.191988
6.66667	0.19259
6.73333	0.192483
6.8	0.193156
6.86667	0.192731
6.93333	0.191031
7	0.190146
7.06667	0.186568
7.13333	0.188658
7.2	0.18926
7.26667	0.189685
7.33333	0.190535
7.4	0.192696
7.46667	0.193971
7.53333	0.19677
7.6	0.196167
7.66667	0.198434
7.73333	0.201374
7.8	0.202331
7.86667	0.202437
7.93333	0.20265
8	0.200312
8.06667	0.199603
8.13333	0.201056
8.2	0.200347
8.26667	0.202225
8.33333	0.202862
8.4	0.203996
8.46667	0.203571
8.53333	0.204704
8.6	0.2035
8.66667	0.204917
8.73333	0.206936
8.8	0.206971
8.86667	0.208175
8.93333	0.210301
9	0.210265
9.06667	0.214481
9.13333	0.217598
9.2	0.220396
9.26667	0.220042
9.33333	0.224328
9.4	0.223974
9.46667	0.224115
9.53333	0.224363
9.6	0.225107
9.66667	0.228649
9.73333	0.227197
9.8	0.227728
9.86667	0.225391
9.93333	0.223761
10	0.222805
10.0667	0.222557
10.1333	0.221175
10.2	0.2216
10.2667	0.219192
10.3333	0.21866
10.4	0.218483
10.4667	0.215685
10.5333	0.215543
10.6	0.215366
10.6667	0.213595
10.7333	0.212993
10.8	0.212993
10.8667	0.211045
10.9333	0.208884
11	0.210584
11.0667	0.210017
11.1333	0.210088
11.2	0.207538
11.2667	0.208069
11.3333	0.205448
11.4	0.207715
11.4667	0.205767
11.5333	0.204527
11.6	0.204527
11.6667	0.205979
11.7333	0.20559
11.8	0.204456
11.8667	0.203571
11.9333	0.203004
12	0.203252
12.0667	0.203535
12.1333	0.204739
12.2	0.204987
12.2667	0.204279
12.3333	0.203323
12.4	0.202791
12.4667	0.202827
12.5333	0.201977
12.6	0.202225
12.6667	0.202756
12.7333	0.202614
12.8	0.203818
12.8667	0.203606
12.9333	0.202862
13	0.20435
13.0667	0.20311
13.1333	0.203571
13.2	0.203429
13.2667	0.203641
13.3333	0.204456
13.4	0.204314
13.4667	0.203818
13.5333	0.203606
13.6	0.204208
13.6667	0.203996
13.7333	0.203677
13.8	0.203854
13.8667	0.203889
13.9333	0.202685
14	0.202579
14.0667	0.203287
14.1333	0.203287
14.2	0.203535
14.2667	0.202402
14.3333	0.203004
14.4	0.20311
14.4667	0.202366
14.5333	0.202295
14.6	0.202685
14.6667	0.202154
14.7333	0.201764
14.8	0.203252
14.8667	0.202791
14.9333	0.20311
15	0.203216
15.0667	0.203393
15.1333	0.202968
15.2	0.202791
15.2667	0.202012
15.3333	0.201622
15.4	0.201516
15.4667	0.202225
15.5333	0.202862
15.6	0.202933
15.6667	0.202118
15.7333	0.201729
15.8	0.201587
15.8667	0.200985
15.9333	0.200843
16	0.200241
16.0667	0.199603
16.1333	0.201162
16.2	0.201551
16.2667	0.201799
16.3333	0.199037
16.4	0.200276
16.4667	0.201481
16.5333	0.201197
16.6	0.201268
16.6667	0.19978
16.7333	0.200099
16.8	0.200383
16.8667	0.199462
16.9333	0.199426
17	0.199426
17.0667	0.199284
17.1333	0.199674
17.2	0.199249
17.2667	0.200135
17.3333	0.199284
17.4	0.199355
17.4667	0.199462
17.5333	0.199957
17.6	0.200453
17.6667	0.200489
17.7333	0.199922
17.8	0.199957
17.8667	0.199922
17.9333	0.199993
18	0.198895
18.0667	0.198611
18.1333	0.197761
18.2	0.19762
18.2667	0.198222
18.3333	0.199462
18.4	0.201091
18.4667	0.201587
18.5333	0.203287
18.6	0.203606
18.6667	0.205094
18.7333	0.206121
18.8	0.20814
18.8667	0.209982
18.9333	0.211895
19	0.21278
19.0667	0.214516
19.1333	0.213772
19.2	0.21356
19.2667	0.213808
19.3333	0.213028
19.4	0.212036
19.4667	0.211363
19.5333	0.210053
19.6	0.209805
19.6667	0.209238
19.7333	0.20775
19.8	0.207963
19.8667	0.206511
19.9333	0.205165
20	0.205448
20.0667	0.205377
20.1333	0.204633
20.2	0.202968
20.2667	0.20265
20.3333	0.202402
20.4	0.202543
20.4667	0.202331
20.5333	0.202756
20.6	0.201729
20.6667	0.201339
20.7333	0.202898
20.8	0.202862
20.8667	0.20102
20.9333	0.202118
21	0.20265
21.0667	0.202614
21.1333	0.201445
21.2	0.200985
21.2667	0.200418
21.3333	0.201162
21.4	0.200985
21.4667	0.199851
21.5333	0.199993
21.6	0.200453
21.6667	0.20102
21.7333	0.200489
21.8	0.200772
21.8667	0.20056
21.9333	0.200418
22	0.200383
22.0667	0.201056
22.1333	0.20056
22.2	0.20056
22.2667	0.200737
22.3333	0.200524
22.4	0.200524
22.4667	0.200028
22.5333	0.200064
22.6	0.200595
22.6667	0.200985
22.7333	0.202118
22.8	0.203181
22.8667	0.204633
22.9333	0.205271
23	0.205412
23.0667	0.206546
23.1333	0.20729
23.2	0.208494
23.2667	0.208282
23.3333	0.208034
23.4	0.207857
23.4667	0.207609
23.5333	0.207786
23.6	0.207538
23.6667	0.207609
23.7333	0.206546
23.8	0.206936
23.8667	0.20775
23.9333	0.20768
24	0.207432
24.0667	0.20775
24.1333	0.207927
24.2	0.207644
24.2667	0.207467
24.3333	0.207786
24.4	0.207467
24.4667	0.207077
24.5333	0.206723
24.6	0.206652
24.6667	0.204669
24.7333	0.205058
24.8	0.205342
24.8667	0.205235
24.9333	0.2052
25	0.204846
25.0667	0.204881
25.1333	0.204066
25.2	0.204102
25.2667	0.2035
25.3333	0.203571
25.4	0.203854
25.4667	0.204279
25.5333	0.206015
25.6	0.206829
25.6667	0.207998
25.7333	0.209273
25.8	0.208955
25.8667	0.210088
25.9333	0.212214
26	0.213276
26.0667	0.212887
26.1333	0.214587
26.2	0.215012
26.2667	0.215012
26.3333	0.216641
26.4	0.217385
26.4667	0.216322
26.5333	0.216748
26.6	0.216854
26.6667	0.216712
26.7333	0.217137
26.8	0.217916
26.8667	0.219121
26.9333	0.222025
27	0.223088
27.0667	0.226347
27.1333	0.229854
27.2	0.232617
27.2667	0.235805
27.3333	0.238638
27.4	0.240091
27.4667	0.24466
27.5333	0.250398
27.6	0.252028
27.6667	0.256916
27.7333	0.26014
27.8	0.262725
27.8667	0.266763
27.9333	0.268853
28	0.271404
28.0667	0.274379
28.1333	0.277851
28.2	0.279232
28.2667	0.285218
28.3333	0.290461
28.4	0.292444
28.4667	0.295774
28.5333	0.301087
28.6	0.303071
28.6667	0.306542
28.7333	0.309978
28.8	0.312316
28.8667	0.316531
28.9333	0.319578
29	0.322943
29.0667	0.324537
29.1333	0.326025
29.2	0.325245
29.2667	0.326273
29.3333	0.326662
29.4	0.328858
29.4667	0.330807
29.5333	0.330877
29.6	0.332401
29.6667	0.336014
29.7333	0.338954
29.8	0.339166
29.8667	0.341504
29.9333	0.343417
30	0.345613
30.0667	0.34742
30.1333	0.349049
30.2	0.349474
30.2667	0.352414
30.3333	0.352485
30.4	0.351812
30.4667	0.354858
30.5333	0.355779
30.6	0.353831
30.6667	0.355815
30.7333	0.356771
30.8	0.35624
30.8667	0.358082
30.9333	0.357409
31	0.357727
31.0667	0.359853
31.1333	0.360419
31.2	0.358684
31.2667	0.359923
31.3333	0.36421
31.4	0.363147
31.4667	0.36343
31.5333	0.365024
31.6	0.36343
31.6667	0.363395
31.7333	0.362226
31.8	0.361128
31.8667	0.361482
31.9333	0.360242
32	0.360809
32.0667	0.359073
32.1333	0.359498
32.2	0.358932
32.2667	0.360171
32.3333	0.360526
32.4	0.361376
32.4667	0.361801
32.5333	0.360951
32.6	0.361022
32.6667	0.360065
32.7333	0.360667
32.8	0.361305
32.8667	0.362226
32.9333	0.362155
33	0.361907
33.0667	0.361022
33.1333	0.361305
33.2	0.361659
33.2667	0.364103
33.3333	0.367468
33.4	0.367752
33.4667	0.372427
33.5333	0.376395
33.6	0.379795
33.6667	0.384188
33.7333	0.389997
33.8	0.392937
33.8667	0.396514
33.9333	0.399207
34	0.399844
34.0667	0.401686
34.1333	0.403918
34.2	0.403528
34.2667	0.406433
34.3333	0.408912
34.4	0.410152
34.4667	0.413978
34.5333	0.417661
34.6	0.418972
34.6667	0.430803
34.7333	0.433672
34.8	0.435975
34.8667	0.437285
34.9333	0.4398
35	0.441217
35.0667	0.442705
35.1333	0.443094
35.2	0.445291
35.2667	0.447168
35.3333	0.447203
35.4	0.448195
35.4667	0.448975
35.5333	0.449116
35.6	0.4494
35.6667	0.450675
35.7333	0.449931
35.8	0.45156
35.8667	0.451985
35.9333	0.452163
36	0.451419
36.0667	0.451985
36.1333	0.453721
36.2	0.453402
36.2667	0.453261
36.3333	0.452658
36.4	0.452906
36.4667	0.452658
36.5333	0.451808
36.6	0.452694
36.6667	0.450781
36.7333	0.448337
36.8	0.448266
36.8667	0.449648
36.9333	0.44692
37	0.447133
37.0667	0.446389
37.1333	0.445716
37.2	0.445574
37.2667	0.444688
37.3333	0.445149
37.4	0.443697
37.4667	0.444193
37.5333	0.44274
37.6	0.443484
37.6667	0.442882
37.7333	0.442882
37.8	0.442032
37.8667	0.44104
37.9333	0.442244
38	0.444972
38.0667	0.445255
38.1333	0.445255
38.2	0.445609
38.2667	0.447274
38.3333	0.449116
38.4	0.450356
38.4667	0.453048
38.5333	0.453757
38.6	0.454961
38.6667	0.456944
38.7333	0.460487
38.8	0.462045
38.8667	0.46456
38.9333	0.466154
39	0.467181
39.0667	0.47083
39.1333	0.471715
39.2	0.473487
39.2667	0.47717
39.3333	0.479083
39.4	0.480536
39.4667	0.481457
39.5333	0.486982
39.6	0.488506
39.6667	0.499451
39.7333	0.507067
39.8	0.51238
39.8667	0.514541
39.9333	0.518402
40	0.521377
40.0667	0.523609
40.1333	0.527257
40.2	0.52956
40.2667	0.531685
40.3333	0.533846
40.4	0.533881
40.4667	0.541143
40.5333	0.546031
40.6	0.546775
40.6667	0.551415
40.7333	0.553434
40.8	0.554426
40.8667	0.557862
40.9333	0.559385
41	0.559562
41.0667	0.56229
41.1333	0.565442
41.2	0.566611
41.2667	0.567568
41.3333	0.576848
41.4	0.575785
41.4667	0.576742
41.5333	0.5783
41.6	0.576706
41.6667	0.578655
41.7333	0.578017
41.8	0.577344
41.8667	0.577592
41.9333	0.578796
42	0.579399
42.0667	0.581205
42.1333	0.582693
42.2	0.582587
42.2667	0.582728
42.3333	0.583082
42.4	0.583224
42.4667	0.583082
42.5333	0.583507
42.6	0.583755
42.6667	0.583897
42.7333	0.583295
42.8	0.581453
42.8667	0.581949
42.9333	0.582941
43	0.58666
43.0667	0.587794
43.1333	0.58836
43.2	0.589883
43.2667	0.591088
43.3333	0.591903
43.4	0.592894
43.4667	0.59254
43.5333	0.594311
43.6	0.593886
43.6667	0.595728
43.7333	0.596366
43.8	0.596755
43.8667	0.597039
43.9333	0.598456
44	0.599766
44.0667	0.598916
44.1333	0.600545
44.2	0.600971
44.2667	0.601289
44.3333	0.602423
44.4	0.603415
44.4667	0.603415
44.5333	0.604654
44.6	0.605221
44.6667	0.606886
44.7333	0.607311
44.8	0.607205
44.8667	0.607134
44.9333	0.606603
45	0.607134
45.0667	0.605823
45.1333	0.607559
45.2	0.607099
45.2667	0.606178
45.3333	0.607913
45.4	0.607453
45.4667	0.607594
45.5333	0.607453
45.6	0.60848
45.6667	0.607099
45.7333	0.606426
45.8	0.605682
45.8667	0.606178
45.9333	0.605257
46	0.606248
46.0667	0.606532
46.1333	0.606071
46.2	0.606709
46.2667	0.605682
46.3333	0.608905
46.4	0.608905
46.4667	0.607878
46.5333	0.608834
46.6	0.608551
46.6667	0.607949
46.7333	0.608268
46.8	0.608232
46.8667	0.607417
46.9333	0.608586
47	0.609118
47.0667	0.608055
47.1333	0.609259
47.2	0.609118
47.2667	0.610712
47.3333	0.611739
47.4	0.610995
47.4667	0.611597
47.5333	0.61142
47.6	0.612554
47.6667	0.611916
47.7333	0.612483
47.8	0.613793
47.8667	0.614537
47.9333	0.614502
48	0.623216
48.0667	0.623959
48.1333	0.624632
48.2	0.624916
48.2667	0.625943
48.3333	0.626156
48.4	0.627643
48.4667	0.627856
48.5333	0.628387
48.6	0.627537
48.6667	0.62651
48.7333	0.626545
48.8	0.627006
48.8667	0.62736
48.9333	0.627643
49	0.628671
49.0667	0.628068
49.1333	0.628812
49.2	0.630513
49.2667	0.632425
49.3333	0.632461
49.4	0.632992
49.4667	0.634444
49.5333	0.635472
49.6	0.635897
49.6667	0.646098
49.7333	0.648259
49.8	0.650951
49.8667	0.653962
49.9333	0.654493
50	0.654918
50.0667	0.656796
50.1333	0.65924
50.2	0.659984
50.2667	0.660728
50.3333	0.661082
50.4	0.661613
50.4667	0.660728
50.5333	0.661826
50.6	0.661755
50.6667	0.663101
50.7333	0.668698
50.8	0.671106
50.8667	0.673905
50.9333	0.674719
51	0.676986
51.0667	0.676738
51.1333	0.678828
51.2	0.679572
51.2667	0.679749
51.3333	0.702667
51.4	0.701534
51.4667	0.702348
51.5333	0.702171
51.6	0.701853
51.6667	0.701959
51.7333	0.701959
51.8	0.702915
51.8667	0.701392
51.9333	0.700577
52	0.700471
52.0667	0.699373
52.1333	0.698594
52.2	0.697602
52.2667	0.698665
52.3333	0.697567
52.4	0.69243
52.4667	0.692289
52.5333	0.690482
52.6	0.689313
52.6667	0.689384
52.7333	0.691155
52.8	0.691155
52.8667	0.688215
52.9333	0.68524
53	0.680741
53.0667	0.680564
53.1333	0.679182
53.2	0.678509
53.2667	0.679466
53.3333	0.67688
53.4	0.674542
53.4667	0.673125
53.5333	0.672877
53.6	0.671177
53.6667	0.671638
53.7333	0.672027
53.8	0.672063
53.8667	0.672204
53.9333	0.67309
54	0.672452
54.0667	0.674967
54.1333	0.676986
54.2	0.681591
54.2667	0.699019
54.3333	0.70628
54.4	0.71007
54.4667	0.72431
54.5333	0.740002
54.6	0.742092
54.6667	0.7801
54.7333	0.780206
54.8	0.778612
54.8667	0.793737
54.9333	0.799263
55	0.804789
55.0667	0.81322
55.1333	0.818391
55.2	0.821615
55.2667	0.82211
55.3333	0.822606
55.4	0.823846
55.4667	0.823811
55.5333	0.82583
55.6	0.825723
55.6667	0.825086
55.7333	0.825405
55.8	0.826113
55.8667	0.826751
55.9333	0.826786
56	0.827105
56.0667	0.827247
56.1333	0.828203
56.2	0.828345
56.2667	0.828947
56.3333	0.831745
56.4	0.831285
56.4667	0.831285
56.5333	0.830683
56.6	0.83086
56.6667	0.830824
56.7333	0.831497
56.8	0.831604
56.8667	0.831639
56.9333	0.831852
57	0.831143
57.0667	0.830576
57.1333	0.83047
57.2	0.831001
57.2667	0.830612
57.3333	0.830612
57.4	0.831285
57.4667	0.830151
57.5333	0.831249
57.6	0.831745
57.6667	0.833693
57.7333	0.833623
57.8	0.832985
57.8667	0.832631
57.9333	0.83256
58	0.830895
58.0667	0.830541
58.1333	0.830576
58.2	0.830895
58.2667	0.831037
58.3333	0.830824
58.4	0.830718
58.4667	0.831178
58.5333	0.831568
58.6	0.831072
58.6667	0.831391
58.7333	0.83171
58.8	0.831001
58.8667	0.831639
58.9333	0.830222
59	0.830683
59.0667	0.830824
59.1333	0.830328
59.2	0.830541
59.2667	0.830505
59.3333	0.83008
59.4	0.829478
59.4667	0.830045
59.5333	0.829762
59.6	0.829478
59.6667	0.82923
59.7333	0.829584
59.8	0.831178
59.8667	0.831568
59.9333	0.831568
60	0.831426
60.0667	0.831639
60.1333	0.831391
60.2	0.831497
60.2667	0.831285
60.3333	0.829797
60.4	0.829514
60.4667	0.830222
60.5333	0.829159
60.6	0.829372
60.6667	0.82962
60.7333	0.829443
60.8	0.829337
60.8667	0.828026
60.9333	0.828841
61	0.828238
61.0667	0.829832
61.1333	0.829939
61.2	0.829655
61.2667	0.82877
61.3333	0.829939
61.4	0.829266
61.4667	0.83001
61.5333	0.830258
61.6	0.831852
61.6667	0.83217
61.7333	0.832135
61.8	0.832489
61.8667	0.832631
61.9333	0.832914
62	0.83001
62.0667	0.829797
62.1333	0.830505
62.2	0.831356
62.2667	0.831285
62.3333	0.831533
62.4	0.831639
62.4667	0.831993
62.5333	0.831639
62.6	0.831249
62.6667	0.831674
62.7333	0.831745
62.8	0.831214
62.8667	0.830718
62.9333	0.830505
63	0.830258
63.0667	0.828309
63.1333	0.829655
63.2	0.830293
63.2667	0.830541
63.3333	0.830328
63.4	0.829939
63.4667	0.829584
63.5333	0.83047
63.6	0.830541
63.6667	0.833552
63.7333	0.833304
63.8	0.833127
63.8667	0.833552
63.9333	0.833339
64	0.833764
64.0667	0.833127
64.1333	0.832843
64.2	0.832383
64.2667	0.832454
64.3333	0.831745
64.4	0.83171
64.4667	0.831356
64.5333	0.830541
64.6	0.830931
64.6667	0.830966
64.7333	0.831391
64.8	0.830895
64.8667	0.831497
64.9333	0.831533
65	0.830789
65.0667	0.83001
65.1333	0.830683
65.2	0.829939
65.2667	0.828911
65.3333	0.823917
65.4	0.824661
65.4667	0.824236
65.5333	0.822783
65.6	0.823846
65.6667	0.822536
65.7333	0.822961
65.8	0.823527
65.8667	0.822996
65.9333	0.824377
66	0.82413
66.0667	0.825582
66.1333	0.825865
66.2	0.826219
66.2667	0.82707
66.3333	0.827211
66.4	0.827459
66.4667	0.828097
66.5333	0.828274
66.6	0.827955
66.6667	0.828911
66.7333	0.829974
66.8	0.831037
66.8667	0.830364
66.9333	0.830505
67	0.828274
67.0667	0.827388
67.1333	0.827778
67.2	0.829195
67.2667	0.829159
67.3333	0.829053
67.4	0.830045
67.4667	0.829549
67.5333	0.830151
67.6	0.829372
67.6667	0.829089
67.7333	0.828982
67.8	0.828805
67.8667	0.82877
67.9333	0.831037
68	0.830789
68.0667	0.831037
68.1333	0.831533
68.2	0.829868
68.2667	0.83008
68.3333	0.830399
68.4	0.83008
68.4667	0.83008
68.5333	0.829159
68.6	0.829159
68.6667	0.830222
68.7333	0.829762
68.8	0.830293
68.8667	0.82923
68.9333	0.829974
69	0.829903
69.0667	0.829195
69.1333	0.828805
69.2	0.828699
69.2667	0.828664
69.3333	0.828557
69.4	0.828876
69.4667	0.830151
69.5333	0.828911
69.6	0.82877
69.6667	0.828982
69.7333	0.829301
69.8	0.829514
69.8667	0.828805
69.9333	0.828982
70	0.829053
70.0667	0.829478
70.1333	0.829939
70.2	0.828876
70.2667	0.82877
70.3333	0.828876
70.4	0.829089
70.4667	0.829053
70.5333	0.829514
70.6	0.829868
