time_sec	queue_density
0.0666667	0.0712349
0.466667	0.0753809
0.866667	0.0884813
1.26667	0.0959896
1.66667	0.103772
2.06667	0.113016
2.46667	0.116187
2.86667	0.120023
3.26667	0.123429
3.66667	0.132308
4.06667	0.136513
4.46667	0.129507
4.86667	0.127508
5.26667	0.135271
5.66667	0.156193
6.06667	0.185819
6.46667	0.196756
6.86667	0.196744
7.26667	0.193041
7.66667	0.203461
8.06667	0.205926
8.46667	0.208438
8.86667	0.214261
9.26667	0.225782
9.66667	0.230967
10.0667	0.225998
10.4667	0.219849
10.8667	0.2145
11.2667	0.211373
11.6667	0.209731
12.0667	0.209128
12.4667	0.206968
12.8667	0.20629
13.2667	0.208336
13.6667	0.208712
14.0667	0.208156
14.4667	0.207458
14.8667	0.207564
15.2667	0.206757
15.6667	0.207729
16.0667	0.205706
16.4667	0.206682
16.8667	0.205326
17.2667	0.205726
17.6667	0.20562
18.0667	0.204186
18.4667	0.207791
18.8667	0.215868
19.2667	0.218815
19.6667	0.215198
20.0667	0.209135
20.4667	0.20689
20.8667	0.206051
21.2667	0.205017
21.6667	0.205871
22.0667	0.205565
22.4667	0.205652
22.8667	0.209864
23.2667	0.21381
23.6667	0.212392
24.0667	0.213117
24.4667	0.212674
24.8667	0.210852
25.2667	0.209625
25.6667	0.213685
26.0667	0.219073
26.4667	0.222894
26.8667	0.225892
27.2667	0.241802
27.6667	0.262109
28.0667	0.279833
28.4667	0.30208
28.8667	0.320185
29.2667	0.332521
29.6667	0.340217
30.0667	0.350167
30.4667	0.358306
30.8667	0.36246
31.2667	0.364094
31.6667	0.367578
32.0667	0.366159
32.4667	0.367037
32.8667	0.367076
33.2667	0.370783
33.6667	0.391388
34.0667	0.409222
34.4667	0.420512
34.8667	0.442567
35.2667	0.453273
35.6667	0.458383
36.0667	0.461518
36.4667	0.460338
36.8667	0.456573
37.2667	0.454151
37.6667	0.451071
38.0667	0.453755
38.4667	0.461718
38.8667	0.474344
39.2667	0.486026
39.6667	0.508852
40.0667	0.533936
40.4667	0.551151
40.8667	0.567536
41.2667	0.577293
41.6667	0.586208
42.0667	0.589328
42.4667	0.591722
42.8667	0.591593
43.2667	0.599168
43.6667	0.603514
44.0667	0.606645
44.4667	0.611085
44.8667	0.614028
45.2667	0.614004
45.6667	0.615505
46.0667	0.615407
46.4667	0.617989
46.8667	0.617966
47.2667	0.619906
47.6667	0.622378
48.0667	0.635377
48.4667	0.635369
48.8667	0.637556
49.2667	0.641192
49.6667	0.65566
50.0667	0.665763
50.4667	0.66938
50.8667	0.682194
51.2667	0.687402
51.6667	0.707337
52.0667	0.705197
52.4667	0.699523
52.8667	0.69542
53.2667	0.685858
53.6667	0.679921
54.0667	0.681916
54.4667	0.731939
54.8667	0.801026
55.2667	0.828214
55.6667	0.832838
56.0667	0.835272
56.4667	0.840119
56.8667	0.840311
57.2667	0.840472
57.6667	0.842678
58.0667	0.841624
58.4667	0.842631
58.8667	0.842725
59.2667	0.841695
59.6667	0.842149
60.0667	0.843235
60.4667	0.838952
60.8667	0.839018
61.2667	0.841702
61.6667	0.84423
62.0667	0.840225
62.4667	0.842314
62.8667	0.841785
63.2667	0.842286
63.6667	0.844308
64.0667	0.843399
64.4667	0.843411
64.8667	0.841989
65.2667	0.840985
65.6667	0.834715
66.0667	0.837799
66.4667	0.838599
66.8667	0.84104
67.2667	0.840221
67.6667	0.840186
68.0667	0.841217
68.4667	0.840966
68.8667	0.841173
69.2667	0.841279
69.6667	0.841338
70.0667	0.841808
70.4667	0.841836
70.8667	0.832556
71.2667	0.832952
71.6667	0.835001
72.0667	0.837478
72.4667	0.837168
72.8667	0.837259
73.2667	0.838709
73.6667	0.83892
74.0667	0.837674
74.4667	0.835867
74.8667	0.83343
75.2667	0.833019
75.6667	0.834006
76.0667	0.836024
76.4667	0.832196
76.8667	0.835495
77.2667	0.821878
77.6667	0.813981
78.0667	0.828739
78.4667	0.832815
78.8667	0.833791
79.2667	0.83805
79.6667	0.839398
80.0667	0.838857
80.4667	0.840245
80.8667	0.840911
81.2667	0.838607
81.6667	0.837329
82.0667	0.838101
82.4667	0.84057
82.8667	0.838685
83.2667	0.838595
83.6667	0.837396
84.0667	0.824907
84.4667	0.827003
84.8667	0.827622
85.2667	0.83082
85.6667	0.8318
86.0667	0.828692
86.4667	0.826075
86.8667	0.828234
87.2667	0.828304
87.6667	0.822203
88.0667	0.82049
88.4667	0.820455
88.8667	0.820142
89.2667	0.808695
89.6667	0.810309
90.0667	0.813433
90.4667	0.816172
90.8667	0.819922
91.2667	0.819424
91.6667	0.81935
92.0667	0.814977
